"EID","TYPECODE","DJDATE","IFHOME"
"s316572","4349537","2014-07","0"
"s316572","4528527","2014-09","0"
"s316572","5520571","2015-07","0"
"s162371","3112935","2013-11","1"
"s162371","3101325","2013-11","1"
"s165531","5610322","2015-07","1"
"s165531","4308686","2014-07","1"
"s165531","4751523","2014-11","1"
"s165531","4241675","2014-06","1"
"s165531","4313594","2014-07","1"
"s165531","4236562","2014-06","1"
"s165531","4516826","2014-09","1"
"s165531","4283946","2014-06","1"
"s352895","5083228","2015-03","0"
"s195237","4973282","2015-01","0"
"s78991","4730524","2014-11","1"
"s109438","3018201","2013-09","0"
"s109438","3023772","2013-09","0"
"s109438","3024001","2013-09","0"
"s109438","3234659","2013-12","0"
"s109438","3235803","2013-12","0"
"s109438","3143462","2013-11","0"
"s109438","3216082","2013-12","0"
"s109438","3092773","2013-10","0"
"s109438","3163670","2013-11","0"
"s109438","4198077","2014-05","0"
"s109438","4197157","2014-05","0"
"s109438","4210953","2014-05","0"
"s109438","4210969","2014-05","0"
"s109438","4207844","2014-05","1"
"s109438","5507504","2015-07","0"
"s109438","4236971","2014-06","0"
"s109438","4114000","2014-04","0"
"s109438","4894975","2014-12","0"
"s109438","4902589","2015-01","0"
"s250033","5349060","2015-05","0"
"s270692","5448189","2015-06","1"
"s388796","4007020","2014-01","1"
"s24147","5074593","2015-03","1"
"s461668","4428477","2014-08","1"
"s86834","5148313","2015-03","1"
"s86834","4746477","2014-11","1"
"s433202","5555585","2015-07","1"
"s1038","5293680","2015-05","0"
"s1038","5190087","2015-04","0"
"s1038","3116613","2013-11","0"
"s1038","5280534","2015-05","0"
"s1038","4637364","2014-10","0"
"s94403","4664724","2014-10","0"
"s248388","5475260","2015-06","1"
"s456995","3990312","2014-01","0"
"s456995","5689717","2015-08","0"
"s456995","5779074","2015-08","0"
"s456995","4279032","2014-06","0"
"s373322","3083854","2013-10","1"
"s373322","5381737","2015-06","0"
"s420204","5726474","2015-08","0"
"s497010","4433147","2014-08","0"
"s488138","3134461","2013-11","0"
"s488138","5690514","2015-08","0"
"s488138","3965555","2014-01","1"
"s488138","5222996","2015-04","0"
"s488138","5494430","2015-07","1"
"s488138","5502126","2015-07","1"
"s145347","5738181","2015-08","1"
"s53473","5781510","2015-08","1"
"s53473","4888698","2014-12","1"
"s53473","4671917","2014-10","1"
"s53473","5112986","2015-03","1"
"s53473","5209270","2015-04","1"
"s81371","4395845","2014-07","1"
"s411641","4822047","2014-12","1"
"s288453","4920503","2015-01","1"
"s288453","3992038","2014-01","1"
"s395008","5519807","2015-07","1"
"s41912","4199573","2014-05","0"
"s490019","3033080","2013-09","1"
"s490019","4017699","2014-02","0"
"s490019","5659906","2015-08","1"
"s490019","4524861","2014-09","0"
"s490019","4385716","2014-07","1"
"s17782","4585038","2014-09","1"
"s17782","4802461","2014-12","1"
"s438798","3245269","2013-12","0"
"s123679","3095725","2013-11","1"
"s123679","4937561","2015-01","1"
"s123679","5672003","2015-08","1"
"s458578","3222408","2013-12","1"
"s210731","4888403","2014-12","1"
"s210731","4833279","2014-12","1"
"s320558","5146061","2015-03","1"
"s320558","4059309","2014-03","0"
"s54484","5687441","2015-08","0"
"s330799","5669932","2015-08","1"
"s228824","4851245","2014-12","0"
"s199358","4275551","2014-06","1"
"s388656","5167454","2015-04","1"
"s388656","4459313","2014-08","0"
"s388656","4857592","2014-12","0"
"s138496","4806188","2014-12","0"
"s138496","4764165","2014-11","0"
"s291897","5651512","2015-08","0"
"s291897","3164020","2013-11","0"
"s291897","3990290","2014-01","0"
"s42496","3999241","2014-01","1"
"s462051","2983525","2013-09","1"
"s462051","3087970","2013-10","1"
"s116607","4910373","2015-01","0"
"s116607","5282871","2015-05","0"
"s116607","4299957","2014-06","1"
"s116607","5008297","2015-02","0"
"s116607","4910837","2015-01","0"
"s235864","4991443","2015-02","0"
"s70484","3142659","2013-11","0"
"s138196","5476079","2015-06","0"
"s138196","5476079","2015-06","0"
"s75731","4307809","2014-07","0"
"s75731","5606445","2015-07","0"
"s75731","4828234","2014-12","0"
"s344507","3196594","2013-12","1"
"s306476","4851264","2014-12","1"
"s286083","5631721","2015-07","0"
"s286083","4979342","2015-02","0"
"s286083","4983307","2015-02","0"
"s286083","4166652","2014-05","0"
"s127850","5425986","2015-06","1"
"s525515","4890708","2014-12","1"
"s482994","5653712","2015-08","0"
"s58421","4121841","2014-04","0"
"s58421","5475963","2015-06","0"
"s58421","5512736","2015-07","0"
"s395651","5289125","2015-05","0"
"s395651","4315267","2014-07","0"
"s286129","5602416","2015-07","0"
"s286129","5429657","2015-06","0"
"s286129","2976331","2013-09","0"
"s286129","4924313","2015-01","0"
"s286129","5763721","2015-08","1"
"s286129","5214302","2015-04","0"
"s286129","4526028","2014-09","0"
"s286129","5458316","2015-06","0"
"s286129","5003265","2015-02","1"
"s286129","4838204","2014-12","1"
"s404073","5067241","2015-03","0"
"s35067","3969202","2014-01","0"
"s509949","4030986","2014-02","1"
"s86622","4461414","2014-08","0"
"s508929","4785340","2014-11","1"
"s508929","4307883","2014-07","1"
"s508929","4831466","2014-12","1"
"s164429","4833800","2014-12","1"
"s63210","4762590","2014-11","1"
"s456443","5178529","2015-04","0"
"s346690","4882864","2014-12","0"
"s346690","3985071","2014-01","0"
"s346690","4756238","2014-11","0"
"s95200","3989976","2014-01","1"
"s95200","5246068","2015-04","1"
"s95200","5136464","2015-03","1"
"s50653","4862583","2014-12","0"
"s171927","5536219","2015-07","1"
"s171927","4026649","2014-02","1"
"s297313","4583746","2014-09","0"
"s297313","4669480","2014-10","0"
"s402542","4837332","2014-12","1"
"s402542","5519747","2015-07","1"
"s402542","5245796","2015-04","1"
"s402542","4610949","2014-10","1"
"s402542","4864979","2014-12","1"
"s402542","5254351","2015-05","1"
"s402542","4767928","2014-11","1"
"s400209","4434355","2014-08","1"
"s290128","4030986","2014-02","1"
"s433534","5408985","2015-06","1"
"s433534","4463920","2014-08","1"
"s433534","4772764","2014-11","0"
"s300560","4906263","2015-01","0"
"s313475","4025581","2014-02","0"
"s438720","5261199","2015-05","0"
"s384213","4033180","2014-02","0"
"s384213","4503515","2014-09","0"
"s384213","4713453","2014-11","0"
"s502566","4290115","2014-06","1"
"s502566","5142023","2015-03","1"
"s329348","4881095","2014-12","0"
"s199896","4760830","2014-11","0"
"s199896","4843548","2014-12","0"
"s207922","5644658","2015-07","1"
"s207922","5019449","2015-02","1"
"s99175","5526173","2015-07","0"
"s523169","4929820","2015-01","0"
"s523169","5015252","2015-02","0"
"s388208","4467295","2014-08","1"
"s388208","5575191","2015-07","1"
"s44549","4923429","2015-01","1"
"s118578","4160146","2014-05","1"
"s118578","5775200","2015-08","1"
"s118578","4355198","2014-07","1"
"s98677","4681152","2014-10","1"
"s442893","3983987","2014-01","0"
"s305433","4055096","2014-03","0"
"s277517","4385458","2014-07","1"
"s257758","3009237","2013-09","0"
"s257758","3208910","2013-12","0"
"s190886","4273945","2014-06","0"
"s403460","5169401","2015-04","1"
"s189659","3220884","2013-12","1"
"s189659","4963060","2015-01","1"
"s244228","4842489","2014-12","0"
"s413584","5572545","2015-07","0"
"s186597","4034022","2014-02","0"
"s99012","4115693","2014-04","1"
"s499858","4752652","2014-11","1"
"s499858","4757981","2014-11","1"
"s362804","3971012","2014-01","0"
"s438053","3193722","2013-12","1"
"s438053","4502669","2014-09","1"
"s438053","4029956","2014-02","1"
"s243091","4809055","2014-12","1"
"s346413","3175377","2013-12","1"
"s346413","5430948","2015-06","1"
"s346413","5039867","2015-03","1"
"s346413","3995424","2014-01","1"
"s417269","4479016","2014-08","1"
"s64620","5121493","2015-03","0"
"s154994","3168159","2013-11","1"
"s154994","4388325","2014-07","1"
"s154994","4584084","2014-09","1"
"s154994","4303356","2014-07","1"
"s154994","4675970","2014-10","1"
"s154994","4820303","2014-12","1"
"s154994","4134774","2014-04","1"
"s210846","4407722","2014-07","1"
"s191428","4548648","2014-09","1"
"s457769","3023632","2013-09","1"
"s457769","5170665","2015-04","1"
"s457769","4654591","2014-10","1"
"s457769","3997201","2014-01","1"
"s461296","5528916","2015-07","1"
"s461296","5776370","2015-08","1"
"s461296","4385733","2014-07","1"
"s461296","5619121","2015-07","1"
"s461296","5629821","2015-07","1"
"s107055","5602997","2015-07","0"
"s246507","3214625","2013-12","1"
"s76424","4123597","2014-04","0"
"s76424","4656985","2014-10","1"
"s76424","4549318","2014-09","1"
"s76424","5499532","2015-07","1"
"s76424","3993456","2014-01","1"
"s76424","4571662","2014-09","1"
"s76424","4123307","2014-04","0"
"s196579","5652637","2015-08","0"
"s274594","4961938","2015-01","0"
"s187156","4388460","2014-07","1"
"s39533","5113860","2015-03","0"
"s39533","5572902","2015-07","0"
"s39533","5762287","2015-08","0"
"s39533","5027606","2015-02","0"
"s39533","3977981","2014-01","0"
"s39533","4801637","2014-12","0"
"s39533","5702726","2015-08","1"
"s364324","3124034","2013-11","1"
"s364324","4046989","2014-03","1"
"s363504","4580670","2014-09","0"
"s363504","4165528","2014-05","0"
"s363504","4910073","2015-01","1"
"s76885","4495076","2014-08","1"
"s76885","4135942","2014-04","1"
"s105857","3222408","2013-12","1"
"s105857","5221357","2015-04","1"
"s350002","5492855","2015-07","1"
"s447886","4609711","2014-10","1"
"s21549","5202599","2015-04","1"
"s491960","4298561","2014-06","0"
"s491960","4468087","2014-08","0"
"s491960","4485125","2014-08","0"
"s491960","4099383","2014-04","0"
"s55654","4524219","2014-09","1"
"s55654","5421688","2015-06","1"
"s20553","5439253","2015-06","1"
"s20553","4624844","2014-10","1"
"s20553","5175190","2015-04","1"
"s40384","4838411","2014-12","0"
"s40384","4838602","2014-12","0"
"s114320","4936528","2015-01","1"
"s440005","5492855","2015-07","1"
"s227983","5312034","2015-05","0"
"s46628","3028469","2013-09","0"
"s46628","3107989","2013-11","0"
"s46628","3018889","2013-09","0"
"s46628","4584540","2014-09","0"
"s46628","3996051","2014-01","0"
"s46628","4887831","2014-12","0"
"s46628","5088130","2015-03","0"
"s46628","4577643","2014-09","0"
"s16501","3218482","2013-12","0"
"s16501","3228504","2013-12","0"
"s16501","3211295","2013-12","1"
"s11412","3036455","2013-09","0"
"s11412","4915460","2015-01","0"
"s11412","5762506","2015-08","0"
"s164458","5401584","2015-06","0"
"s514735","4606804","2014-10","1"
"s514735","5043555","2015-03","1"
"s514735","4806253","2014-12","1"
"s514735","4590979","2014-09","1"
"s514735","4111095","2014-04","1"
"s479743","4741513","2014-11","0"
"s479743","4801266","2014-12","0"
"s479743","4849028","2014-12","0"
"s387912","5159678","2015-04","1"
"s387912","4938215","2015-01","1"
"s387912","5159790","2015-04","1"
"s387912","4914320","2015-01","1"
"s387912","5468237","2015-06","1"
"s387912","5159531","2015-04","1"
"s387912","5350248","2015-05","1"
"s439997","3229842","2013-12","1"
"s439997","4895002","2014-12","1"
"s345779","3066588","2013-10","1"
"s345779","4465812","2014-08","0"
"s345779","4866357","2014-12","0"
"s345779","4425852","2014-08","1"
"s345779","5200738","2015-04","0"
"s345779","5158685","2015-04","0"
"s345779","5392094","2015-06","1"
"s345779","4962163","2015-01","0"
"s345779","5461814","2015-06","1"
"s345779","5588170","2015-07","1"
"s89806","3246577","2013-12","0"
"s89806","3190252","2013-12","1"
"s89806","2993312","2013-09","1"
"s89806","3215396","2013-12","1"
"s89806","3113039","2013-11","1"
"s89806","5231067","2015-04","1"
"s89806","4547786","2014-09","1"
"s89806","5515629","2015-07","1"
"s89806","5159487","2015-04","1"
"s89806","5505623","2015-07","1"
"s89806","4631094","2014-10","1"
"s89806","5470639","2015-06","1"
"s89806","4060312","2014-03","1"
"s89806","5564527","2015-07","1"
"s89806","4487163","2014-08","1"
"s89806","5575079","2015-07","1"
"s89806","5212177","2015-04","1"
"s89806","4117288","2014-04","1"
"s89806","4837516","2014-12","1"
"s89806","4834426","2014-12","1"
"s89806","5553067","2015-07","1"
"s89806","4837579","2014-12","1"
"s89806","5757464","2015-08","1"
"s89806","3979689","2014-01","1"
"s89806","5576092","2015-07","1"
"s89806","5526575","2015-07","1"
"s89806","5610462","2015-07","1"
"s89806","5514683","2015-07","1"
"s89806","5585063","2015-07","1"
"s89806","5472286","2015-06","1"
"s89806","3968123","2014-01","0"
"s89806","5456697","2015-06","1"
"s89806","4393477","2014-07","1"
"s89806","5575453","2015-07","1"
"s89806","4428429","2014-08","0"
"s89806","4041779","2014-03","1"
"s89806","5575195","2015-07","1"
"s89806","5472283","2015-06","1"
"s89806","5757612","2015-08","1"
"s89806","4066064","2014-03","1"
"s89806","2983208","2013-09","1"
"s89806","3051418","2013-10","1"
"s89806","3046374","2013-10","1"
"s89806","5575747","2015-07","1"
"s89806","5476374","2015-06","1"
"s89806","5495699","2015-07","1"
"s89806","5757025","2015-08","0"
"s502703","3162201","2013-11","1"
"s412032","3229842","2013-12","1"
"s417749","4920192","2015-01","1"
"s51595","5596159","2015-07","0"
"s51595","5596102","2015-07","0"
"s51595","4321586","2014-07","0"
"s51595","4321221","2014-07","0"
"s108653","4616984","2014-10","1"
"s127626","5264409","2015-05","0"
"s127626","5381304","2015-06","0"
"s127626","5649054","2015-08","0"
"s127626","5590802","2015-07","0"
"s127626","5527889","2015-07","0"
"s127626","5285302","2015-05","0"
"s127626","4460786","2014-08","0"
"s127626","4577749","2014-09","0"
"s127626","4170111","2014-05","0"
"s127626","5082226","2015-03","0"
"s127626","5688357","2015-08","0"
"s127626","4168473","2014-05","0"
"s127626","4068094","2014-03","0"
"s127626","5343450","2015-05","0"
"s127626","5383818","2015-06","0"
"s127626","4837279","2014-12","1"
"s127626","4271304","2014-06","0"
"s127626","5611471","2015-07","0"
"s127626","4031524","2014-02","0"
"s127626","5678761","2015-08","0"
"s127626","4465256","2014-08","0"
"s127626","4828234","2014-12","0"
"s384457","2979049","2013-09","1"
"s439047","3213506","2013-12","1"
"s439047","4174957","2014-05","1"
"s439047","4923843","2015-01","0"
"s439047","4355734","2014-07","1"
"s439047","4670353","2014-10","1"
"s439047","4922484","2015-01","1"
"s439047","5311090","2015-05","1"
"s439047","5644655","2015-07","1"
"s439047","4317040","2014-07","1"
"s439047","5519688","2015-07","1"
"s439047","4624839","2014-10","1"
"s439047","4861858","2014-12","1"
"s244599","4906500","2015-01","1"
"s408283","4380416","2014-07","1"
"s366360","4704836","2014-11","0"
"s464742","4447929","2014-08","1"
"s464742","4479917","2014-08","1"
"s470953","5378014","2015-06","1"
"s523292","3136560","2013-11","1"
"s294385","5260913","2015-05","0"
"s406603","3190628","2013-12","1"
"s371297","4685467","2014-10","1"
"s467040","5644658","2015-07","1"
"s265316","4624626","2014-10","1"
"s515339","3200639","2013-12","1"
"s515339","4396882","2014-07","0"
"s385465","5467392","2015-06","0"
"s385465","5141321","2015-03","0"
"s385465","5391025","2015-06","0"
"s385465","5390792","2015-06","0"
"s385465","5434290","2015-06","0"
"s385465","5416871","2015-06","0"
"s385465","5465806","2015-06","0"
"s385465","5112913","2015-03","0"
"s385465","4225447","2014-06","0"
"s385465","5517324","2015-07","0"
"s357469","4951320","2015-01","0"
"s357469","5015854","2015-02","0"
"s357469","5016048","2015-02","0"
"s357469","5331814","2015-05","0"
"s357469","5031777","2015-02","0"
"s357469","5026234","2015-02","0"
"s357469","4354948","2014-07","0"
"s357469","4272767","2014-06","0"
"s357469","4028693","2014-02","0"
"s357469","5037639","2015-03","0"
"s392241","3983117","2014-01","1"
"s143231","3020690","2013-09","1"
"s143231","4477786","2014-08","1"
"s497008","5040626","2015-03","0"
"s497008","4397862","2014-07","0"
"s404676","5301202","2015-05","0"
"s486700","4017236","2014-02","1"
"s210088","2997131","2013-09","1"
"s210088","4101330","2014-04","1"
"s210088","4326298","2014-07","1"
"s16640","3239152","2013-12","1"
"s142572","4332815","2014-07","1"
"s142572","5480497","2015-06","1"
"s95703","4966009","2015-01","1"
"s95703","5674868","2015-08","1"
"s156652","3044575","2013-10","0"
"s156652","3233546","2013-12","0"
"s156652","5363168","2015-06","0"
"s156652","5019007","2015-02","0"
"s156652","4341443","2014-07","0"
"s156652","5363452","2015-06","0"
"s156652","4026099","2014-02","0"
"s24385","3964974","2014-01","1"
"s24385","4666180","2014-10","0"
"s24385","5413713","2015-06","1"
"s24385","5585283","2015-07","1"
"s24385","4022143","2014-02","1"
"s24385","4923076","2015-01","1"
"s24385","4911650","2015-01","0"
"s462442","3202357","2013-12","0"
"s462442","5643355","2015-07","0"
"s462442","4102352","2014-04","0"
"s180593","3228070","2013-12","1"
"s367515","5636404","2015-07","0"
"s367515","4235966","2014-06","0"
"s367515","4157755","2014-05","1"
"s367515","5724887","2015-08","0"
"s407704","3193828","2013-12","1"
"s407704","3193876","2013-12","1"
"s407704","3077983","2013-10","1"
"s407704","3193879","2013-12","1"
"s407704","5015001","2015-02","1"
"s407704","4962601","2015-01","1"
"s407704","4304264","2014-07","1"
"s407704","4322397","2014-07","1"
"s413272","4797235","2014-12","1"
"s413272","4797240","2014-12","1"
"s207341","3178235","2013-12","1"
"s207341","3146575","2013-11","0"
"s207341","3118182","2013-11","0"
"s207341","3144728","2013-11","0"
"s207341","2973632","2013-09","0"
"s207341","3043447","2013-10","1"
"s207341","4446926","2014-08","1"
"s207341","4161756","2014-05","1"
"s207341","5349964","2015-05","1"
"s207341","5582298","2015-07","1"
"s207341","4051508","2014-03","0"
"s207341","4079105","2014-04","1"
"s207341","4575253","2014-09","0"
"s486894","3051887","2013-10","0"
"s486894","5762802","2015-08","0"
"s486894","3969306","2014-01","0"
"s198791","4978069","2015-02","1"
"s286339","5396050","2015-06","1"
"s286339","5217057","2015-04","1"
"s286339","4537149","2014-09","1"
"s286339","5326662","2015-05","1"
"s286339","5344295","2015-05","1"
"s286339","4929813","2015-01","1"
"s393556","4443516","2014-08","1"
"s393556","4431566","2014-08","1"
"s393556","5697149","2015-08","1"
"s393556","5273625","2015-05","1"
"s393556","4659049","2014-10","1"
"s393556","4136454","2014-04","1"
"s393556","5488309","2015-06","1"
"s393556","5467516","2015-06","1"
"s393556","5240116","2015-04","1"
"s393556","5752535","2015-08","1"
"s393556","5769337","2015-08","1"
"s393556","4965994","2015-01","1"
"s393556","4549652","2014-09","1"
"s393556","4139817","2014-05","1"
"s393556","4454795","2014-08","1"
"s393556","4339471","2014-07","1"
"s393556","4067413","2014-03","0"
"s393556","5306468","2015-05","1"
"s393556","5466653","2015-06","1"
"s393556","4940475","2015-01","1"
"s393556","4221217","2014-06","1"
"s393556","3027097","2013-09","1"
"s393556","4194403","2014-05","1"
"s393556","5306471","2015-05","1"
"s393556","5532401","2015-07","1"
"s416030","5226380","2015-04","0"
"s416030","3040996","2013-10","1"
"s416030","4642406","2014-10","0"
"s416030","4521910","2014-09","0"
"s208047","4758917","2014-11","1"
"s234648","3151926","2013-11","1"
"s234648","4486796","2014-08","1"
"s98994","3128160","2013-11","1"
"s98994","2983953","2013-09","1"
"s98994","5692503","2015-08","1"
"s269976","3100881","2013-11","0"
"s46290","3001904","2013-09","1"
"s46290","5433149","2015-06","1"
"s46290","4774737","2014-11","1"
"s367932","3157165","2013-11","0"
"s367932","2985691","2013-09","0"
"s367932","4479813","2014-08","1"
"s367932","4392425","2014-07","1"
"s191377","4574649","2014-09","1"
"s191377","4929398","2015-01","1"
"s95642","4582362","2014-09","1"
"s354988","3117078","2013-11","1"
"s354988","5576092","2015-07","1"
"s354988","5585232","2015-07","1"
"s354988","4726262","2014-11","1"
"s354988","4969677","2015-01","1"
"s354988","4976561","2015-01","0"
"s354988","4960949","2015-01","0"
"s354988","5472174","2015-06","1"
"s354988","4769139","2014-11","1"
"s354988","5575079","2015-07","1"
"s354988","4960951","2015-01","0"
"s469829","4044498","2014-03","1"
"s469829","4185585","2014-05","1"
"s469829","5750966","2015-08","1"
"s469829","3061363","2013-10","1"
"s469829","4823774","2014-12","1"
"s97641","4416515","2014-08","1"
"s97641","5630447","2015-07","1"
"s97641","4941451","2015-01","1"
"s445318","3194128","2013-12","1"
"s445318","4452420","2014-08","1"
"s445318","4479814","2014-08","1"
"s445318","4417816","2014-08","1"
"s445318","4999843","2015-02","1"
"s445318","4471058","2014-08","1"
"s445318","4008586","2014-01","1"
"s445318","5439978","2015-06","1"
"s445318","5608561","2015-07","1"
"s445318","4968180","2015-01","1"
"s469394","5406565","2015-06","0"
"s469394","5135453","2015-03","1"
"s469394","4471207","2014-08","1"
"s330874","5632452","2015-07","0"
"s62914","5577595","2015-07","1"
"s62914","4851264","2014-12","1"
"s62914","4954192","2015-01","1"
"s62914","4423427","2014-08","1"
"s62914","5119453","2015-03","1"
"s62914","5539189","2015-07","1"
"s62914","4894878","2014-12","1"
"s62914","5178204","2015-04","1"
"s62914","4537801","2014-09","1"
"s38800","4392747","2014-07","1"
"s341044","3164598","2013-11","0"
"s341044","3198041","2013-12","0"
"s341044","5625537","2015-07","0"
"s341044","5675787","2015-08","0"
"s341044","5144153","2015-03","0"
"s341044","5555806","2015-07","0"
"s449624","2984854","2013-09","1"
"s444646","5596754","2015-07","1"
"s248019","5105342","2015-03","0"
"s248019","4743234","2014-11","1"
"s248019","4325351","2014-07","0"
"s248019","4881658","2014-12","0"
"s248019","5684400","2015-08","1"
"s249221","4087131","2014-04","0"
"s521177","4595380","2014-09","0"
"s46077","4865507","2014-12","0"
"s46077","4756620","2014-11","0"
"s190012","3136328","2013-11","1"
"s36503","3145652","2013-11","0"
"s36503","4952285","2015-01","0"
"s36503","4783477","2014-11","0"
"s36503","3970084","2014-01","0"
"s36503","4783771","2014-11","0"
"s36503","4282537","2014-06","0"
"s36503","4451773","2014-08","0"
"s36503","4673009","2014-10","0"
"s308134","4860129","2014-12","0"
"s69907","5730867","2015-08","1"
"s361961","4525831","2014-09","0"
"s361961","5268029","2015-05","0"
"s361961","5377862","2015-06","1"
"s218992","5520343","2015-07","1"
"s23445","3037346","2013-10","1"
"s23445","4861752","2014-12","1"
"s23445","4502988","2014-09","1"
"s23445","3992040","2014-01","1"
"s23445","5787820","2015-08","1"
"s302486","3979843","2014-01","1"
"s302486","4743031","2014-11","1"
"s302486","5375050","2015-06","0"
"s302486","5010377","2015-02","1"
"s302486","4991740","2015-02","1"
"s209018","5584026","2015-07","1"
"s111463","4048745","2014-03","0"
"s518359","4474719","2014-08","1"
"s518359","5456352","2015-06","1"
"s518359","3986282","2014-01","1"
"s238785","3156327","2013-11","0"
"s381473","3218634","2013-12","1"
"s381473","4695688","2014-11","1"
"s66562","5732726","2015-08","1"
"s109166","4929398","2015-01","1"
"s109166","4026019","2014-02","1"
"s381431","3233895","2013-12","1"
"s346961","3022172","2013-09","0"
"s346961","3187745","2013-12","0"
"s346961","3196594","2013-12","1"
"s346961","4005548","2014-01","0"
"s397995","5639035","2015-07","1"
"s397995","4310548","2014-07","1"
"s397995","4654942","2014-10","0"
"s397995","4264520","2014-06","1"
"s397995","4416787","2014-08","1"
"s397995","4141822","2014-05","1"
"s397995","4246211","2014-06","1"
"s397995","4284774","2014-06","0"
"s397995","5285093","2015-05","1"
"s356545","5388200","2015-06","1"
"s515970","3061482","2013-10","0"
"s515970","4692419","2014-11","0"
"s515970","4167340","2014-05","0"
"s515970","5033856","2015-03","0"
"s392660","4868429","2014-12","0"
"s392660","4867787","2014-12","1"
"s392660","4093652","2014-04","1"
"s328668","5757347","2015-08","0"
"s328668","3223963","2013-12","0"
"s328668","4626738","2014-10","0"
"s328668","5757735","2015-08","0"
"s22274","5509327","2015-07","0"
"s22274","3226904","2013-12","0"
"s178351","4490118","2014-08","1"
"s178351","4594138","2014-09","1"
"s178351","5029276","2015-02","1"
"s125576","4068639","2014-03","1"
"s125576","4048876","2014-03","1"
"s125576","5270269","2015-05","0"
"s125576","4651966","2014-10","1"
"s125576","4751712","2014-11","1"
"s125576","5530099","2015-07","1"
"s125576","4311468","2014-07","1"
"s125576","4988309","2015-02","1"
