"EID","TYPECODE","FBDATE","SXENDDATE"
"p31075","2234203","2015年08月",""
"p31133","71894068","2014年06月",""
"p31133","174271","2014年06月",""
"p31228","105466197","2015年08月",""
"p31228","2195838","2015年08月",""
"p31228","312523","2014年08月",""
"p31228","312500","2014年08月",""
"p31228","312475","2014年08月",""
"p33725","101552769","2015年05月",""
"p33725","1675996","2015年05月",""
"p35034","41773963","2015年05月",""
"p35034","1579103","2015年05月",""
"p35092","98673210","2015年05月",""
"p35092","700410851","2015年05月",""
"p35092","101822639","2015年07月",""
"p35092","95931375","2015年05月",""
"p35092","2001298","2015年07月",""
"p35092","1658077","2015年05月",""
"p35092","1624388","2015年05月",""
"p35946","100570352","2015年06月",""
"p35946","1689706","2015年06月",""
"p36365","87383812","2014年10月",""
"p36365","700352434","2014年10月",""
"p36365","548427","2014年10月",""
"p36532","1681241","2015年06月",""
"p36532","1681242","2015年06月",""
"p36532","1681238","2015年06月",""
"p36532","1681239","2015年06月",""
"p37346","94310585","2015年06月",""
"p37346","1761607","2015年06月",""
"p37655","70985304","2014年01月",""
"p37655","55957","2014年01月",""
"p38565","76735411","2014年06月",""
"p38565","182548","2014年06月",""
"p41370","100535595","2015年06月",""
"p41370","1795196","2015年06月",""
"p41584","61506873","2015年07月",""
"p41584","1943756","2015年07月",""
"p41667","64411166","2014年11月",""
"p41667","756817","2014年11月",""
"p41780","105209008","2015年08月",""
"p41780","2273590","2015年08月",""
"p41916","934484","2014年12月","2015-07"
"p41916","934571","2014年12月","2015-07"
"p41952","101217633","2015年05月",""
"p41952","1603822","2015年05月",""
"p42078","88839661","2015年01月",""
"p42078","1037173","2015年01月",""
"p42186","101579231","2015年07月",""
"p42186","71074797","2015年07月",""
"p42186","599018","2015年07月",""
"p42186","2054774","2015年07月",""
"p42281","93383433","2015年01月",""
"p42281","93382920","2015年01月",""
"p42281","93383312","2015年01月",""
"p42281","1120668","2015年01月",""
"p42281","1120048","2015年01月",""
"p42281","1120124","2015年01月",""
"p43042","66643150","2013年10月",""
"p43042","26849","2013年10月",""
"p43632","31450","2013年10月",""
"p44808","76735352","2014年07月",""
"p44808","182544","2014年07月",""
"p46640","96748034","2015年08月",""
"p46640","1608035","2015年08月",""
"p48313","60031939","2014年10月",""
"p48313","60015435","2013年10月",""
"p48313","60279872","2013年10月",""
"p48313","66230354","2013年10月",""
"p48313","68252221","2015年03月",""
"p48313","1236252","2015年03月",""
"p48313","30535","2013年10月",""
"p48313","30489","2013年10月",""
"p48313","30522","2013年10月",""
"p48313","582387","2014年10月",""
"p48330","80067803","2015年06月",""
"p48330","1760014","2015年06月",""
"p48608","79355918","2014年11月",""
"p48608","621276","2014年11月",""
"p48885","87349589","2015年07月",""
"p48885","2055429","2015年07月",""
"p49052","297020","2014年08月",""
"p49383","2166301","2015年08月",""
"p51066","104049998","2015年07月",""
"p51066","1993122","2015年07月",""
"p51176","102706364","2015年06月",""
"p51176","1805202","2015年06月",""
"p51648","73131880","2014年05月",""
"p51648","65550","2014年05月",""
"p52322","105399232","2015年08月",""
"p52322","2190455","2015年08月",""
"p52708","1185707","2015年02月",""
"p52808","2137095","2015年07月",""
"p52808","2137108","2015年07月",""
"p53826","96541899","2015年02月",""
"p53826","1195403","2015年02月",""
"p53952","151774","2014年05月",""
"p54680","100889137","2015年07月",""
"p54680","1931014","2015年07月",""
"p54994","95328676","2015年08月",""
"p54994","82468888","2015年01月",""
"p54994","2162690","2015年08月",""
"p54994","962512","2015年01月",""
"p57688","73388927","2015年07月",""
"p57688","2056025","2015年07月",""
"p61434","538385","2014年10月","2015-07"
"p62770","82311905","2014年09月",""
"p62770","75394009","2014年09月",""
"p62770","82312289","2014年09月",""
"p62770","562101","2014年09月",""
"p62770","562099","2014年09月",""
"p62770","571075","2014年09月",""
"p63020","43779","2014年01月",""
"p63272","100536916","2015年05月",""
"p63272","1518929","2015年05月",""
"p63384","1092695","2015年01月",""
"p65974","86125588","2014年10月",""
"p65974","623291","2014年10月",""
"p66112","89462537","2015年02月",""
"p66112","1200349","2015年02月",""
"p66229","101010763","2015年05月",""
"p66229","1586584","2015年05月",""
"p66516","97340983","2015年03月",""
"p66516","100291477","2015年04月",""
"p66516","1473685","2015年04月",""
"p66516","1224075","2015年03月",""
"p69997","106383550","2015年08月",""
"p69997","2338082","2015年08月",""
"p70184","77720728","2015年03月",""
"p70184","1442305","2015年04月","2015-07"
"p70184","1159006","2015年03月",""
"p70321","75402857","2014年09月",""
"p70321","75399980","2014年09月",""
"p70321","75399311","2014年09月",""
"p70321","569486","2014年09月",""
"p70321","569444","2014年09月",""
"p70321","569394","2014年09月",""
"p70342","101245501","2015年05月",""
"p70342","1703340","2015年05月",""
"p70848","101830087","2015年08月",""
"p70848","2276102","2015年08月",""
"p70848","1445460","2015年04月",""
"p71034","1666876","2015年05月",""
"p71753","1388991","2015年04月",""
"p71778","105077457","2015年08月",""
"p71778","2276183","2015年08月",""
"p71895","61510145","2014年11月",""
"p71895","97149822","2015年07月",""
"p71895","2105194","2015年07月",""
"p71895","629569","2014年11月",""
"p71895","629672","2014年11月",""
"p71895","629568","2014年11月",""
"p71997","97229960","2015年03月",""
"p71997","1219171","2015年03月",""
"p72749","1993263","2015年07月",""
"p73050","101099770","2015年08月",""
"p73050","2338242","2015年08月",""
"p74629","102438153","2015年07月",""
"p74629","100537059","2015年07月",""
"p74629","1967289","2015年07月",""
"p74629","1967339","2015年07月",""
"p74629","1132859","2015年01月",""
"p75020","1774502","2015年06月",""
"p75020","42319","2013年12月",""
"p75797","97896024","2015年05月",""
"p75797","1649210","2015年05月",""
"p75871","96673770","2015年04月",""
"p75871","1419751","2015年04月",""
"p76072","100814398","2015年05月",""
"p76072","1535023","2015年05月",""
"p77310","88771654","2014年11月",""
"p77310","662688","2014年11月",""
"p77381","226484","2014年07月",""
"p77728","94465895","2015年01月",""
"p77728","1106548","2015年01月",""
"p80045","2209691","2015年08月",""
"p80110","102624764","2015年08月",""
"p80110","2213200","2015年08月",""
"p81350","67435076","2015年06月",""
"p81350","1744964","2015年06月",""
"p82086","101815358","2015年06月",""
"p82086","1838306","2015年06月",""
"p83077","101218688","2015年05月",""
"p83077","1604326","2015年05月",""
"p83197","61509558","2015年07月",""
"p83197","1691483","2015年07月",""
"p83481","77869058","2014年09月",""
"p83481","533902","2014年09月",""
"p83505","96769629","2015年04月",""
"p83505","1419180","2015年04月",""
"p83505","1418359","2015年04月",""
"p83649","2304962","2015年08月",""
"p84575","87608235","2014年11月",""
"p84575","87608238","2014年11月",""
"p84575","87608268","2014年11月",""
"p84575","87608258","2014年11月",""
"p84575","87608243","2014年11月",""
"p84575","89755860","2014年11月",""
"p84575","731151","2014年11月",""
"p84575","727409","2014年11月",""
"p84575","730995","2014年11月",""
"p84575","731115","2014年11月",""
"p84575","731051","2014年11月",""
"p84575","731537","2014年11月",""
"p84584","91284872","2015年01月",""
"p84584","1045090","2015年01月",""
"p85068","94175753","2015年07月",""
"p85068","74727223","2014年02月",""
"p85068","74727220","2014年02月",""
"p85068","2070151","2015年07月",""
"p85068","92838","2014年02月",""
"p85068","92842","2014年02月",""
"p85140","98671545","2015年04月",""
"p85140","1389862","2015年04月",""
"p85598","96755132","2015年04月",""
"p85598","1426050","2015年04月",""
"p86627","1821254","2015年06月",""
"p86662","1701738","2015年06月",""
"p86878","98216408","2015年03月",""
"p86878","98216408","2015年03月",""
"p86878","1289108","2015年03月",""
"p86901","96660035","2015年02月",""
"p86901","1181698","2015年02月",""
"p87697","92816485","2014年12月",""
"p87697","885701","2014年12月",""
"p87916","88380521","2014年11月",""
"p87916","82138302","2014年11月",""
"p87916","652410","2014年11月","2015-07"
"p87916","652960","2014年11月",""
"p87916","651985","2014年11月",""
"p88839","96765645","2015年04月",""
"p88839","1434579","2015年04月",""
"p89390","100553629","2015年05月",""
"p89390","90211158","2015年07月",""
"p89390","2131467","2015年07月",""
"p89390","1560863","2015年05月",""
"p89511","98533283","2015年08月",""
"p89511","2255190","2015年08月",""
"p89579","98329267","2015年08月",""
"p89579","2315426","2015年08月",""
"p89899","76563941","2014年06月",""
"p89899","174398","2014年06月",""
"p90539","2308731","2015年08月",""
"p90932","2019924","2015年07月",""
"p91237","1789408","2015年06月",""
"p91237","571064","2014年09月","2015-07"
"p91315","87085850","2014年09月",""
"p91315","558410","2014年09月",""
"p92878","96477664","2015年02月",""
"p92878","101588407","2015年06月",""
"p92878","1738333","2015年06月",""
"p92878","1166027","2015年02月",""
"p94140","1209687","2015年03月",""
"p94526","1591949","2015年05月","2015-07"
"p94812","96137548","2015年03月",""
"p94812","1231322","2015年03月",""
"p95526","69125532","2014年01月",""
"p95526","1969142","2015年07月",""
"p95526","55753","2014年01月",""
"p96144","74320664","2014年10月",""
"p96144","586663","2014年10月",""
"p96274","84032424","2015年05月",""
"p96274","1611906","2015年05月",""
"p97959","789123","2014年12月","2015-07"
"p99277","105883961","2015年08月",""
"p99277","2235974","2015年08月",""
"p99445","85335542","2014年08月",""
"p99445","412862","2014年08月",""
"p99455","2091942","2015年08月",""
"p99839","98552475","2015年08月",""
"p99839","98552440","2015年08月",""
"p99839","2162012","2015年08月",""
"p99839","2161985","2015年08月",""
"p100048","1580000","2015年05月","2015-07"
"p100344","104530054","2015年07月",""
"p100344","101579163","2015年06月",""
"p100344","101290437","2015年05月",""
"p100344","101286167","2015年05月",""
"p100344","2116763","2015年07月",""
"p100344","1726895","2015年06月",""
"p100344","1611713","2015年05月",""
"p100344","1612184","2015年05月",""
"p100347","99441021","2015年06月",""
"p100347","77753752","2015年02月",""
"p100347","95679306","2015年06月",""
"p100347","95679357","2015年06月",""
"p100347","76776387","2015年02月",""
"p100347","1876899","2015年06月",""
"p100347","1876891","2015年06月",""
"p100347","1876955","2015年06月",""
"p100347","1170435","2015年02月",""
"p100347","1170440","2015年02月",""
"p100667","104504099","2015年07月",""
"p100667","104504099","2015年07月",""
"p100667","2116971","2015年07月",""
"p101362","94630944","2015年05月",""
"p101362","1659528","2015年05月",""
"p101672","95454787","2015年04月",""
"p101672","1526266","2015年04月",""
"p102778","2114740","2015年08月",""
"p102837","65594915","2014年05月",""
"p102837","150282","2014年05月",""
"p104519","74375038","2015年07月",""
"p104519","2067865","2015年07月",""
"p104584","2102458","2015年07月",""
"p105235","90391755","2014年11月",""
"p105235","99379634","2015年03月",""
"p105235","1385810","2015年03月",""
"p105235","768823","2014年11月",""
"p105625","67267565","2013年10月",""
"p105625","31042","2013年10月",""
"p106196","100570260","2015年06月",""
"p106196","1689703","2015年06月",""
"p106430","96617752","2015年02月",""
"p106430","1195794","2015年02月",""
"p106698","96235541","2015年08月",""
"p106698","2221011","2015年08月",""
"p107425","103811550","2015年07月",""
"p107425","1945245","2015年07月",""
"p107535","66763535","2013年10月",""
"p107535","27663","2013年10月",""
"p107578","100455309","2015年04月",""
"p107578","1491591","2015年04月",""
"p107904","99684720","2015年04月",""
"p107904","100429408","2015年05月",""
"p107904","87430127","2014年12月",""
"p107904","1593936","2015年05月",""
"p107904","1477736","2015年04月",""
"p107904","915998","2014年12月",""
"p107904","898805","2014年12月",""
"p109541","97949773","2015年03月",""
"p109541","1351213","2015年03月",""
"p109837","96582554","2015年04月",""
"p109837","1318627","2015年04月",""
"p110177","77484235","2014年04月",""
"p110177","122498","2014年04月",""
"p110963","103354211","2015年07月",""
"p110963","2085141","2015年07月",""
"p111102","92013011","2015年05月",""
"p111102","1675744","2015年05月",""
"p111156","96569498","2015年08月",""
"p111156","1607366","2015年08月",""
"p111176","87404096","2014年09月",""
"p111176","87404101","2014年09月",""
"p111176","557342","2014年09月",""
"p111176","557337","2014年09月",""
"p112212","96604437","2015年02月",""
"p112212","1185236","2015年02月",""
"p112219","96978915","2015年02月",""
"p112219","1197583","2015年02月",""
"p114353","82511633","2014年08月",""
"p114353","263125","2014年08月",""
"p114673","104931754","2015年08月",""
"p114673","104931754","2015年08月",""
"p114673","2238555","2015年08月",""
"p114980","101018401","2015年08月",""
"p114980","2152334","2015年08月",""
"p116655","1197797","2015年02月",""
"p117050","1402888","2015年04月",""
"p117050","1402885","2015年04月",""
"p117820","96137365","2015年03月",""
"p117820","103130502","2015年07月",""
"p117820","1950515","2015年07月",""
"p117820","1231335","2015年03月",""
"p118208","96686838","2015年02月",""
"p118208","1183906","2015年02月",""
"p118328","91359595","2015年01月",""
"p118328","811140","2015年01月",""
"p118622","99918514","2015年05月",""
"p118622","1556109","2015年05月",""
"p119890","1682742","2015年05月",""
"p119925","61335830","2015年08月",""
"p119925","2263890","2015年08月",""
"p120747","98787286","2015年05月",""
"p120747","1691654","2015年05月",""
"p121282","103162304","2015年07月",""
"p121282","101677961","2015年07月",""
"p121282","2051457","2015年07月",""
"p121282","2050909","2015年07月",""
"p121986","95082007","2015年08月",""
"p121986","2302985","2015年08月",""
"p123575","83214527","2014年09月",""
"p123575","520850","2014年09月",""
"p123850","105861637","2015年08月",""
"p123850","105853128","2015年08月",""
"p123850","2234432","2015年08月",""
"p123850","2234557","2015年08月",""
"p123941","1109758","2015年01月",""
"p124988","1684772","2015年06月",""
"p125117","76727871","2015年02月",""
"p125117","1179102","2015年02月",""
"p125363","60386076","2015年05月",""
"p125363","1620494","2015年05月",""
"p125689","76495258","2014年08月",""
"p125689","244521","2014年08月",""
"p125968","174323","2014年06月",""
"p126366","67442781","2014年01月",""
"p126366","44001","2014年01月",""
"p126694","82310097","2014年09月",""
"p126694","571067","2014年09月",""
"p127314","70171962","2013年12月",""
"p127314","43267","2013年12月",""
"p127784","75443364","2014年11月",""
"p127784","727491","2014年11月",""
"p128444","75443289","2015年05月",""
"p128444","1507644","2015年05月",""
"p128861","101016935","2015年06月",""
"p128861","1913350","2015年06月",""
"p128861","1731797","2015年06月",""
"p129794","65701643","2015年07月",""
"p129794","1926416","2015年07月",""
"p129907","100560079","2015年07月",""
"p129907","97143475","2015年03月",""
"p129907","100560083","2015年07月",""
"p129907","102492118","2015年07月",""
"p129907","100560063","2015年07月",""
"p129907","1952780","2015年07月",""
"p129907","1952788","2015年07月",""
"p129907","1952764","2015年07月",""
"p129907","1952797","2015年07月",""
"p129907","1309860","2015年03月",""
"p130178","100540915","2015年04月",""
"p130178","87918868","2014年11月",""
"p130178","100540693","2015年04月",""
"p130178","1510872","2015年04月",""
"p130178","1510880","2015年04月",""
"p130178","630088","2014年11月",""
"p130411","67231277","2013年10月",""
"p130411","67231046","2013年10月",""
"p130411","67230387","2013年10月",""
"p130411","67231575","2013年10月",""
"p130411","700409975","2013年10月",""
"p130411","30545","2013年10月",""
"p130411","30517","2013年10月",""
"p130411","30551","2013年10月",""
"p130411","30553","2013年10月",""
"p131383","103478068","2015年06月",""
"p131383","1906609","2015年06月",""
"p133184","101939716","2015年06月",""
"p133184","101940428","2015年06月",""
"p133184","1700157","2015年06月",""
"p133184","1700262","2015年06月",""
"p133262","101678416","2015年07月",""
"p133262","2065618","2015年07月",""
"p133306","69370963","2014年01月",""
"p133306","44486","2014年01月",""
"p134067","76141","2014年01月",""
"p134067","76147","2014年01月",""
"p135436","95710419","2015年08月",""
"p135436","2317000","2015年08月",""
"p135749","87427875","2014年11月",""
"p135749","680500","2014年11月",""
"p137033","72178577","2014年01月",""
"p137033","61969","2014年01月",""
"p137377","1181679","2015年02月","2015-07"
"p137539","41111167","2014年10月",""
"p137539","613535","2014年10月",""
"p137539","137597","2014年05月",""
"p137547","89220434","2014年11月",""
"p137547","706815","2014年11月",""
"p137704","68632440","2014年04月",""
"p137704","105077456","2015年08月",""
"p137704","93325596","2015年07月",""
"p137704","102699493","2015年06月",""
"p137704","2276177","2015年08月",""
"p137704","2106946","2015年07月",""
"p137704","1802858","2015年06月",""
"p137704","122715","2014年04月",""
"p138497","60333803","2013年10月",""
"p138497","30525","2013年10月",""
"p140656","85032322","2015年07月",""
"p140656","85031610","2014年09月",""
"p140656","1972821","2015年07月",""
"p140656","376042","2014年09月",""
"p141232","101589351","2015年07月",""
"p141232","2043844","2015年07月",""
"p141573","66568833","2013年10月",""
"p141573","26374","2013年10月",""
"p141576","72757230","2014年01月",""
"p141576","64221","2014年01月",""
"p142664","81949562","2015年03月",""
"p142664","1230120","2015年03月",""
"p143779","95978020","2015年04月",""
"p143779","95978015","2015年04月",""
"p143779","97875379","2015年04月",""
"p143779","1447370","2015年04月",""
"p143779","1447377","2015年04月",""
"p143779","1447361","2015年04月",""
"p144190","72141057","2015年05月",""
"p144190","1546797","2015年05月",""
"p144915","96822251","2015年02月",""
"p144915","96820860","2015年02月",""
"p144915","1191681","2015年02月",""
"p144915","1195519","2015年02月",""
"p144915","1191510","2015年02月",""
"p145038","98166335","2015年04月",""
"p145038","1510571","2015年04月",""
"p145636","81949561","2015年03月",""
"p145636","1230106","2015年03月",""
"p145667","104857513","2015年08月",""
"p145667","2304850","2015年08月",""
"p146088","61788946","2015年04月",""
"p146088","1445674","2015年04月",""
"p146089","73242607","2015年08月",""
"p146089","2062564","2015年08月",""
"p146427","1612289","2015年08月",""
"p147427","103811130","2015年07月",""
"p147427","1945218","2015年07月",""
"p147432","388244","2014年08月",""
"p147655","98839876","2015年07月",""
"p147655","1943651","2015年07月",""
"p147745","79626133","2014年07月",""
"p147745","225048","2014年07月",""
"p147937","104529642","2015年07月",""
"p147937","2116590","2015年07月",""
"p148032","95478455","2015年02月",""
"p148032","95484442","2015年02月",""
"p148032","96688959","2015年06月",""
"p148032","95475846","2015年02月",""
"p148032","95503510","2015年02月",""
"p148032","95476466","2015年02月",""
"p148032","95678578","2015年02月",""
"p148032","96102771","2015年02月",""
"p148032","95909631","2015年02月",""
"p148032","95593034","2015年02月",""
"p148032","1765773","2015年06月",""
"p148032","1333405","2015年03月",""
"p148032","1203727","2015年02月",""
"p148032","1203796","2015年02月",""
"p148032","1203688","2015年02月",""
"p148032","1203680","2015年02月",""
"p148032","1203694","2015年02月",""
"p148032","1203717","2015年02月",""
"p148032","1203710","2015年02月",""
"p148032","1203736","2015年02月",""
"p148032","1203704","2015年02月",""
"p148400","553639","2014年09月","2015-07"
"p148638","76194640","2015年04月",""
"p148638","191190","2015年04月",""
"p149321","104162678","2015年08月",""
"p149321","2274965","2015年08月",""
"p150090","1761220","2015年06月",""
"p150293","96018287","2015年05月",""
"p150293","1541700","2015年05月",""
"p150778","1691486","2015年05月",""
"p152124","82937110","2015年03月",""
"p152124","1295055","2015年03月",""
"p152671","1206036","2015年03月",""
"p152704","76398997","2015年06月",""
"p152704","1752589","2015年06月",""
"p153450","105861170","2015年08月",""
"p153450","105852552","2015年08月",""
"p153450","105852552","2015年08月",""
"p153450","105861170","2015年08月",""
"p153450","2234442","2015年08月",""
"p153450","2234569","2015年08月",""
"p153572","43836054","2015年07月",""
"p153572","1935563","2015年07月",""
"p153598","92879527","2015年01月",""
"p153598","916225","2015年01月",""
"p153980","7659141","2015年06月",""
"p153980","1823832","2015年06月",""
"p154127","36708349","2014年01月",""
"p154127","57098","2014年01月",""
"p154275","1361872","2015年03月",""
"p157975","101975321","2015年06月",""
"p157975","1706848","2015年06月",""
"p158131","1004020","2015年01月",""
"p158314","36568396","2013年10月",""
"p158314","27705","2013年10月",""
"p158516","937942","2014年12月",""
"p158516","937943","2014年12月",""
"p158839","64974646","2015年07月",""
"p158839","1947240","2015年07月",""
"p160241","64929881","2014年12月",""
"p160241","790046","2014年12月",""
"p160616","98409108","2015年04月",""
"p160616","98409091","2015年04月",""
"p160616","98409099","2015年04月",""
"p160616","98409106","2015年04月",""
"p160616","98409101","2015年04月",""
"p160616","98409103","2015年04月",""
"p160616","98409089","2015年04月",""
"p160616","1408885","2015年04月",""
"p160616","1408866","2015年04月",""
"p160616","1408554","2015年04月",""
"p160616","1408591","2015年04月",""
"p160616","1408569","2015年04月",""
"p160616","1408581","2015年04月",""
"p160616","1408521","2015年04月",""
"p161804","96765022","2015年03月",""
"p161804","1295888","2015年03月",""
"p163692","93446224","2015年06月",""
"p163692","1792007","2015年06月",""
"p164251","85294423","2015年07月",""
"p164251","2052223","2015年07月",""
"p164427","99617316","2015年04月",""
"p164427","1415842","2015年04月",""
"p166296","81232974","2014年11月",""
"p166296","656011","2014年11月",""
"p167061","98313133","2015年07月",""
"p167061","2068216","2015年07月",""
"p167828","73204074","2015年06月",""
"p167828","1924320","2015年06月",""
"p168390","44549847","2015年07月",""
"p168390","1893573","2015年07月",""
"p170252","97114629","2015年05月",""
"p170252","1624309","2015年05月",""
"p171274","96610842","2015年02月",""
"p171274","1180641","2015年02月",""
"p171351","88994954","2015年01月",""
"p171351","1003874","2015年01月",""
"p171889","75536150","2014年11月",""
"p171889","581872","2014年11月",""
"p172592","100343108","2015年05月",""
"p172592","101570795","2015年08月",""
"p172592","2209648","2015年08月",""
"p172592","1669083","2015年05月",""
"p173107","1435630","2015年04月",""
"p173124","1032086","2015年01月","2015-07"
"p173144","82468850","2015年01月",""
"p173144","962506","2015年01月",""
"p176467","1997276","2015年07月",""
