"EID","BTEID","IFHOME","BTBL","BTYEAR","BTENDYEAR"
"p206851","s185873","0","0.93","2009",""
"p178028","s119517","0","0.073","2004",""
"p105802","s323218","0","0.49","2001",""
"p67249","s182006","0","1","2008",""
"p80916","s83059","0","0","2013",""
"p94989","s349378","0","0.039","2011",""
"p115225","s513287","0","0.177","2006",""
"p72124","s115764","0","0.093","2012",""
"p17572","s452084","0","0.2","2003",""
"p103539","s466629","0","0.038","1999",""
"p2094","s364677","0","0.5","2008",""
"p228940","s393096","0","1","2013",""
"p42096","s109823","0","1","2013",""
"p46163","s511966","0","0.004","2015",""
"p69524","s446177","0","0.69","2001",""
"p54752","s39082","0","0.3","2008",""
"p99304","s291833","0","0.076","2008",""
"p116167","s291833","0","0.038","2008",""
"p24619","s346016","0","0.25","2013",""
"p156694","s223571","0","0.01","2007",""
"p41258","p26","1","1","2013",""
"p12517","p537","1","0.51","2015",""
"p53742","p564","1","0.3","2004",""
"p129962","p715","1","0.34","2014",""
"p35721","p783","1","1","2007",""
"p177798","p1082","1","1","2012",""
"p1174","p1174","1","1","1993",""
"p150653","p1226","1","0.75","1989",""
"p20854","p1290","1","1","2011",""
"p172146","p1359","1","0.097","1986",""
"p201381","p1365","1","0","1998",""
"p124662","p1507","1","0.66","2015",""
"p184138","p1531","1","0","2003",""
"p101805","p2045","1","1","1984",""
"p131740","p2354","1","1","2011",""
"p2424","p2424","1","1","1996",""
"p95139","p2434","1","0","2004",""
"p31518","p2554","1","1","2009",""
"p131411","p2724","1","0.5","2003",""
"p2840","p2840","1","1","1993",""
"p2853","p2853","1","1","1991",""
"p214525","p2862","1","1","1993",""
"p2870","p2870","1","1","1986",""
"p2886","p2886","1","1","2001",""
"p116421","p3038","1","1","2015",""
"p167800","p3265","1","1","2015",""
"p226870","p3287","1","0.06","2013",""
"p213959","p3290","1","0.1","2014",""
"p4595","p3387","1","0.234","2015",""
"p50396","p3706","1","0.521","2013",""
"p167443","p3807","1","1","2011",""
"p133733","p3882","1","1","2014",""
"p99239","p4222","1","0.333","1998",""
"p86903","p4383","1","0.3","2013",""
"p120641","p4448","1","1","2014",""
"p40195","p4537","1","0.7","1998",""
"p157560","p4573","1","0.02","2014",""
"p156905","p4582","1","1","2014",""
"p185759","p4959","1","1","2015",""
"p33105","p5176","1","0.33","2014",""
"p155234","p5360","1","1","2010",""
"p198819","p5516","1","0.333","2000",""
"p40856","p5598","1","0.9","2000",""
"p70303","p5675","1","0.49","2010",""
"p166468","p5676","1","0.51","2004",""
"p5700","p5700","1","1","1989",""
"p26642","p5729","1","1","2013",""
"p77512","p5745","1","1","2014",""
"p146943","p6171","1","0","1992",""
"p54073","p6368","1","1","2014",""
"p12306","p6404","1","0.2","2010",""
"p212828","p6717","1","1","2006",""
"p6820","p6820","1","1","1992",""
"p6900","p6900","1","1","1986",""
"p190068","p7250","1","1","1995",""
"p84611","p7417","1","1","2015",""
"p31336","p7462","1","0.8","2013",""
"p176391","p7588","1","0.285","2015",""
"p163092","p7628","1","0.04","2005",""
"p36038","p7655","1","0.047","2011",""
"p60364","p7655","1","0","2011",""
"p106449","p7655","1","0.136","2011",""
"p28988","p7733","1","1","2015",""
"p177798","p7784","1","1","2007",""
"p73070","p7902","1","0.7","2014",""
"p31518","p7912","1","0.9","2008",""
"p2094","p8056","1","1","2010",""
"p8372","p8372","1","0.227","1993",""
"p8401","p8401","1","1","1981",""
"p8740","p8740","1","1","1992",""
"p196775","p8764","1","0.048","1993",""
"p2989","p8843","1","0.034","2002",""
"p8863","p8863","1","1","1997",""
"p190017","p8917","1","0.35","2014",""
"p223520","p9157","1","0.333","2009",""
"p10134","p9351","1","0.4","2015",""
"p83398","p9745","1","1","2015",""
"p179587","p9981","1","0.8","2003",""
"p10133","p10134","1","1","2013",""
"p10382","p10382","1","1","1989",""
"p10397","p10397","1","1","1989",""
"p155234","p10885","1","1","2008",""
"p225133","p11137","1","1","2014",""
"p69422","p11257","1","0.51","2013",""
"p192983","p11266","1","0.4","2014",""
"p46129","p11386","1","0.85","2014",""
"p122909","p11524","1","0.33","2003",""
"p70120","p11552","1","0.6","2015",""
"p188917","p12069","1","0.49","2011",""
"p43471","p12255","1","0.1","2011",""
"p131761","p12255","1","0.3","2011",""
"p37591","p12493","1","1","2013",""
"p47176","p12509","1","0.4","2012",""
"p12608","p12608","1","1","1993",""
"p214423","p12610","1","1","2014",""
"p13867","p12638","1","0.868","2013",""
"p82742","p12731","1","0.2","2015",""
"p177490","p12950","1","1","1989",""
"p195435","p12974","1","0.5","2013",""
"p25708","p13037","1","0.5","2003",""
"p106737","p13117","1","0.5","2015",""
"p25625","p13162","1","0.7","2011",""
"p60467","p13233","1","0.3","2011",""
"p115181","p13265","1","0.545","2014",""
"p144953","p13616","1","0.3","2014",""
"p38995","p13651","1","1","2011",""
"p54801","p13836","1","1","1980",""
"p195708","p13837","1","0.86","1989",""
"p196427","p14472","1","0.3","2000",""
"p14568","p14568","1","1","1988",""
"p14674","p14674","1","1","1997",""
"p14712","p14712","1","1","1993",""
"p14721","p14721","1","1","1994",""
"p56119","p15116","1","0.3","2011",""
"p45886","p15117","1","1","2012",""
"p27472","p15317","1","0.999","2014",""
"p100626","p15328","1","0.49","2015",""
"p128546","p15422","1","0.3","1997",""
"p4859","p15490","1","0.01","2015",""
"p186796","p16131","1","0.147","2011",""
"p175668","p16384","1","0.6","2012",""
"p156712","p16404","1","1","2015",""
"p13739","p16407","1","1","2011",""
"p133838","p16567","1","0.51","2014",""
"p16620","p16620","1","0.711","1989",""
"p44901","p16840","1","1","2013",""
"p34702","p16909","1","0.95","1997",""
"p205539","p17001","1","1","2013",""
"p92071","p17081","1","0.65","2013",""
"p98489","p17233","1","0.1","2012",""
"p17609","p17609","1","1","1990",""
"p141562","p17696","1","0.9","2014",""
"p23645","p17949","1","0.807","2014",""
"p111979","p18403","1","0.68","2015",""
"p194328","p18670","1","1","2011",""
"p42385","p19101","1","0.2","2011",""
"p19281","p19281","1","1","1993",""
"p107000","p19332","1","0.8","2011",""
"p49764","p19358","1","0.6","2011",""
"p87650","p19448","1","0.077","2000",""
"p134932","p19464","1","0","1998",""
"p38686","p19573","1","0.014","2012",""
"p119147","p19586","1","0.5","2015",""
"p71734","p19750","1","0.235","2012",""
"p184201","p19768","1","0.1","2003",""
"p189564","p19768","1","0.9","2003",""
"p66505","p20018","1","0.2","2013",""
"p65848","p20026","1","0.49","2008",""
"p136836","p20026","1","0.51","2008",""
"p20416","p20416","1","0.667","2001",""
"p39536","p20718","1","0.85","2015",""
"p72124","p20751","1","1","2015",""
"p186091","p20885","1","0.9","2005",""
"p116495","p20918","1","0.1","2015",""
"p27801","p20956","1","0.9","2002",""
"p109988","p21123","1","1","2013",""
"p198001","p21422","1","0.99","2010",""
"p85715","p21526","1","0.045","2014",""
"p70321","p21660","1","0.75","1998",""
"p69383","p21779","1","1","2006",""
"p196776","p21858","1","0.413","2011",""
"p174116","p21900","1","0.001","2015",""
"p210807","p22117","1","0.016","2015",""
"p48327","p22148","1","1","2014",""
"p104469","p22305","1","0.5","2003",""
"p87040","p22421","1","0.5","2015",""
"p126757","p22540","1","0.3","2013",""
"p16193","p22582","1","1","2010",""
"p109976","p22782","1","1","2015",""
"p210807","p22866","1","0.27","2014",""
"p23218","p23218","1","1","1988",""
"p13053","p23230","1","0.51","2013",""
"p225433","p23278","1","1","2015",""
"p21862","p23459","1","0.99","2012",""
"p23571","p23570","1","0.95","2014",""
"p64954","p23620","1","1","2008",""
"p217761","p23636","1","0.1","2004",""
"p12210","p23802","1","1","2005",""
"p53860","p24519","1","1","1997",""
"p77872","p24646","1","1","2010",""
"p85239","p24729","1","0.6","2015",""
"p24790","p24790","1","1","1992",""
"p152644","p25321","1","0.8","2004",""
"p9356","p25321","1","0.2","2004",""
"p178392","p25335","1","0.89","2009",""
"p30799","p25482","1","0.9","2015",""
"p71933","p25565","1","0.25","2004",""
"p53470","p25614","1","1","2010",""
"p94379","p25723","1","1","2012",""
"p8310","p25742","1","0.697","2009",""
"p161560","p25961","1","0.7","2007",""
"p142970","p26075","1","0.1","2015",""
"p220209","p26269","1","1","2013",""
"p55190","p26277","1","0.55","1993",""
"p92074","p27192","1","1","2014",""
"p150471","p27229","1","1","2013",""
"p187874","p27297","1","0.51","2011",""
"p85951","p27678","1","0.742","2000",""
"p32031","p27686","1","1","2014",""
"p21750","p27699","1","0.9","2013",""
"p20956","p27801","1","0.1","2002",""
"p46347","p27812","1","0.5","2015",""
"p204168","p27994","1","0.25","2005",""
"p128139","p28167","1","0.49","2011",""
"p85490","p28171","1","1","2013",""
"p86297","p28538","1","1","2010",""
"p126457","p28789","1","0.1","2015",""
"p28833","p28833","1","1","1989",""
"p116973","p28906","1","0.2","2006",""
"p28956","p28956","1","1","1992",""
"p219479","p28964","1","1","2013",""
"p175298","p29091","1","1","1997",""
"p29264","p29264","1","1","1997",""
"p132535","p29268","1","0.05","2007",""
"p29345","p29345","1","1","1993",""
"p174851","p29351","1","0.3","2015",""
"p202153","p29678","1","0.2","2005",""
"p152894","p29773","1","1","2004",""
"p182147","p29809","1","0.5","2013",""
"p53320","p29886","1","0.1","2014",""
"p153369","p30089","1","0.675","2011",""
"p194328","p30331","1","0.95","2013",""
"p135471","p30405","1","0.4","2014",""
"p94178","p30490","1","0.5","2011",""
"p59460","p30493","1","1","2011",""
"p181271","p30536","1","0.083","2005",""
"p223933","p30551","1","0.025","1999",""
"p165759","p30635","1","0","1985",""
"p60467","p30794","1","0.5","2014",""
"p2352","p30806","1","0.5","1991",""
"p154866","p30855","1","0.67","2004",""
"p142312","p30966","1","0.9","2008",""
"p32353","p31336","1","1","2014",""
"p77743","p31435","1","1","2015",""
"p19484","p31518","1","1","2008",""
"p113952","p31545","1","0.097","1992",""
"p31804","p31804","1","1","1998",""
"p66733","p31835","1","0.25","2004",""
"p229537","p31892","1","0.75","2003",""
"p31927","p31927","1","1","1994",""
"p8225","p32109","1","0.449","1993",""
"p32204","p32199","1","1","2014",""
"p32312","p32312","1","1","1992",""
"p32340","p32340","1","1","1993",""
"p14734","p32407","1","1","2009",""
"p50143","p32557","1","0.353","2013",""
"p81570","p32717","1","0.333","2013",""
"p26535","p32946","1","0.1","2010",""
"p32962","p32962","1","0.886","1990",""
"p25614","p33133","1","0.008","2004",""
"p39864","p33133","1","0.03","2004",""
"p203524","p33223","1","1","2014",""
"p56330","p33363","1","1","2009",""
"p85610","p34008","1","0.094","2006",""
"p150842","p34050","1","0.65","1996",""
"p198627","p34277","1","0.55","2014",""
"p58351","p34322","1","0.8","2013",""
"p22292","p34356","1","0.9","2004",""
"p58349","p34518","1","0.338","2013",""
"p58349","p34518","1","0.338","2013",""
"p166343","p34554","1","0.4","2007",""
"p17449","p34554","1","0.45","2007",""
"p76054","p34573","1","0.1","2013",""
"p20954","p34688","1","1","2013",""
"p163370","p34798","1","0.6","2012",""
"p34990","p34990","0","1","1990",""
"p35005","p35005","1","1","1994",""
"p35162","p35162","1","1","1990",""
"p182237","p35600","1","0.01","2015",""
"p115225","p35721","1","0.021","2002",""
"p35777","p35777","1","1","1984",""
"p35823","p35823","1","1","1990",""
"p123941","p36040","1","1","2011",""
"p53857","p36126","1","0.4","2009",""
"p31465","p36242","1","0","1984",""
"p100481","p36343","1","0.6","2002",""
"p36422","p36422","1","1","1993",""
"p18828","p36486","1","0.3","2014",""
"p196265","p36982","1","0.5","2014",""
"p66601","p37219","1","0.85","1996",""
"p160589","p37466","1","1","2001",""
"p17572","p37590","1","0.75","1995",""
"p106833","p37663","1","0.51","1994",""
"p95801","p37681","1","0.49","2014",""
"p37701","p37701","1","1","1993",""
"p131205","p37845","1","0.413","2010",""
"p214423","p37904","1","1","2014",""
"p38014","p38014","1","1","1996",""
"p38105","p38105","1","1","1984",""
"p38191","p38191","1","1","1987",""
"p186583","p38435","1","0.95","2015",""
"p168361","p38742","1","1","2014",""
"p117618","p38995","1","0.001","1995",""
"p27890","p39085","1","0.6","1996",""
"p210094","p39369","1","1","2015",""
"p109110","p39572","1","0.211","2015",""
"p58469","p39596","1","0.992","1997",""
"p146560","p39651","1","0.625","2007",""
"p39772","p39772","1","1","1978",""
"p200850","p40290","1","0.05","2004",""
"p215567","p40333","1","0.15","2006",""
"p92360","p40693","1","0.036","2005",""
"p97649","p40856","1","0.039","1986",""
"p197270","p40862","1","0.95","2015",""
"p40892","p40892","1","1","1988",""
"p123046","p40915","1","1","2009",""
"p141562","p41279","1","1","2005",""
"p184117","p41385","1","0.008","2009",""
"p85347","p41406","1","0.9","2014",""
"p76911","p41578","1","1","1999",""
"p41778","p41778","1","1","1992",""
"p172296","p41828","1","1","2011",""
"p37729","p42066","1","1","2013",""
"p178297","p42593","1","0.333","2015",""
"p66607","p42662","1","0.4","1998",""
"p207603","p42784","1","1","2001",""
"p112378","p42912","1","0.51","2014",""
"p67709","p42968","1","0","1998",""
"p137113","p42994","1","1","2013",""
"p43004","p43004","1","1","1993",""
"p43282","p43282","1","1","1982",""
"p67413","p43328","1","0.16","1993",""
"p12255","p43471","1","0.3","2011",""
"p143177","p43598","1","0.51","2010",""
"p46132","p43844","1","0.25","2004",""
"p43894","p43894","1","1","2002",""
"p49767","p43913","1","0.35","2006",""
"p150073","p43915","1","0.1","1999",""
"p43928","p43928","1","1","1998",""
"p43929","p43929","1","1","1999",""
"p115406","p44056","1","1","2012",""
"p160775","p44280","1","0.42","2014",""
"p97164","p44710","1","0.51","2015",""
"p194500","p44993","1","0.04","1995",""
"p122340","p45133","1","0.82","2013",""
"p228730","p45375","1","0.35","2014",""
"p192331","p45392","1","1","2012",""
"p63846","p45408","1","1","2015",""
"p180501","p45415","1","0.49","2014",""
"p185407","p45445","1","0.167","2014",""
"p121074","p45511","1","0.067","2011",""
"p156712","p45517","1","1","2015",""
"p228292","p45549","1","0.51","2015",""
"p28463","p45590","1","0.6","2013",""
"p186675","p46015","1","0.12","2009",""
"p222986","p46085","1","1","1985",""
"p229103","p46132","1","0.01","2013",""
"p52092","p46185","1","0.071","2003",""
"p186281","p46533","1","0.9","2015",""
"p9500","p46601","1","0.3","2015",""
"p187081","p46744","1","0.559","1986",""
"p195580","p46837","1","1","2007",""
"p6831","p46852","1","0.3","2012",""
"p170241","p46975","1","1","2014",""
"p93729","p46987","1","0.54","2004",""
"p35086","p46998","1","0.6","2014",""
"p153658","p47110","1","0.3","2013",""
"p139559","p47221","1","0.75","2011",""
"p1353","p47252","1","0.09","2000",""
"p17720","p47264","1","0.67","2007",""
"p227360","p47296","1","1","2012",""
"p142116","p47321","1","0.3","2011",""
"p44467","p47465","1","1","2014",""
"p177798","p47655","1","1","2009",""
"p177099","p47783","1","1","1992",""
"p47996","p47996","1","1","1988",""
"p58745","p48167","1","0.95","2007",""
"p88881","p48172","1","1","2009",""
"p60312","p48236","1","1","2008",""
"p48295","p48269","1","0.32","2010",""
"p143151","p48344","1","1","2015",""
"p48489","p48489","1","1","1974",""
"p48645","p48645","1","1","1985",""
"p130804","p48752","1","0.6","2006",""
"p124789","p48821","1","0.245","2006",""
"p213113","p49051","1","0.5","1987",""
"p183456","p49086","1","1","2011",""
"p101678","p49087","1","0.95","2001",""
"p207642","p49278","1","0.8","2014",""
"p49433","p49433","1","1","1995",""
"p54655","p49465","1","0.42","1993",""
"p184955","p49736","1","0.2","2011",""
"p49737","p49737","1","1","1991",""
"p150002","p49824","1","0","2015",""
"p208569","p49873","1","1","1989",""
"p26593","p49995","1","1","2014",""
"p114747","p50100","1","0.15","2003",""
"p50708","p50708","1","1","1990",""
"p3307","p50711","1","1","2015",""
"p215823","p51482","1","1","2014",""
"p139046","p51534","1","1","2014",""
"p43302","p51729","1","0.7","2012",""
"p192974","p51741","1","1","2015",""
"p116335","p51884","1","1","2015",""
"p40708","p52201","1","0.4","1996",""
"p177798","p52603","1","0.8","2013",""
"p111118","p52753","1","1","1993",""
"p52791","p52791","1","1","1994",""
"p94379","p52844","1","0.1","2014",""
"p184138","p52856","1","1","1987",""
"p184138","p53360","1","0.083","1987",""
"p118692","p53360","1","0.285","1987",""
"p135687","p53466","1","0.5","2007",""
"p845","p53546","1","0.13","2005",""
"p65810","p54009","1","0.35","2011",""
"p71648","p54045","1","0.7","2007",""
"p54100","p54100","1","1","2005",""
"p19944","p54106","1","1","2008",""
"p206527","p54115","1","0.046","1998",""
"p7815","p54155","1","0.51","2014",""
"p7272","p54177","1","1","1997",""
"p198620","p54184","1","1","2013",""
"p60317","p54315","1","0.75","2011",""
"p54408","p54408","1","1","1983",""
"p84605","p54554","1","0.1","2012",""
"p54655","p54654","1","1","1992",""
"p54674","p54674","1","1","1981",""
"p175546","p55041","1","1","2014",""
"p19668","p55080","1","1","1995",""
"p66537","p55102","1","0.01","2012",""
"p204151","p55168","1","0.3","2015",""
"p84741","p55280","1","0.5","2007",""
"p55530","p55530","1","1","1992",""
"p55540","p55541","1","1","1982",""
"p55763","p55763","1","1","1997",""
"p2839","p55767","1","0.51","2010",""
"p144953","p55877","1","0.95","2014",""
"p186451","p55984","1","0.65","2015",""
"p9892","p56119","1","0.9","2013",""
"p32924","p56607","1","1","2011",""
"p39536","p56725","1","0.083","2015",""
"p95698","p56733","1","1","2015",""
"p15646","p56750","1","1","2005",""
"p51900","p57798","1","0.969","2002",""
"p169288","p58091","1","1","2011",""
"p158262","p58351","1","0.011","2012",""
"p199454","p58351","1","0.015","2012",""
"p58413","p58413","1","1","1990",""
"p131294","p58451","1","0.417","2001",""
"p52697","p58503","1","0.103","2003",""
"p1391","p58611","1","0.54","2015",""
"p66607","p58697","1","1","1990",""
"p175948","p58704","1","1","2006",""
"p8292","p58790","1","1","2013",""
"p18327","p58935","1","1","2015",""
"p111312","p58997","1","1","1984",""
"p89123","p59298","1","0.5","2000",""
"p149192","p59516","1","0.93","1997",""
"p143066","p59644","1","0.85","2008",""
"p59939","p59939","1","1","1993",""
"p59942","p59942","1","1","1999",""
"p25389","p60167","1","0.8","2008",""
"p101776","p60189","1","1","1986",""
"p166776","p60274","1","1","2013",""
"p184287","p60647","1","1","1996",""
"p189435","p60655","1","0.833","2013",""
"p165154","p60724","1","0.25","2009",""
"p73283","p60731","1","0.1","2008",""
"p160789","p60773","1","0.976","2015",""
"p37591","p60870","1","1","1982",""
"p177798","p60907","1","0.4","2004",""
"p14055","p61135","1","0.5","2011",""
"p149278","p61175","1","0.02","2005",""
"p189674","p61228","1","1","2014",""
"p35470","p61402","1","0.045","2009",""
"p55190","p61454","1","1","2001",""
"p61498","p61498","0","1","1999",""
"p205539","p61505","1","0.02","1986",""
"p77809","p61505","1","0.006","1986",""
"p143890","p61505","1","0.006","1986",""
"p61542","p61505","1","0.01","1986",""
"p61525","p61525","1","1","1990",""
"p61588","p61588","1","1","1991",""
"p186583","p61724","1","0.51","2015",""
"p128326","p61853","1","0.163","1992",""
"p120637","p61853","1","0.113","1992",""
"p111561","p61921","1","0.3","2015",""
"p109090","p61951","1","1","2011",""
"p198911","p62029","1","0.99","2014",""
"p161594","p62160","1","0.5","2013",""
"p64266","p62274","1","0.17","2015",""
"p185664","p62287","1","1","2014",""
"p226011","p62622","1","0.536","2015",""
"p204290","p62729","1","1","2014",""
"p28027","p62757","1","0.9","2006",""
"p168296","p62793","1","0.95","2009",""
"p198056","p62868","1","0.01","2015",""
"p220534","p63049","1","0.054","2014",""
"p210807","p63284","1","0.72","2014",""
"p16618","p63431","1","0.6","2001",""
"p102778","p63765","1","1","2004",""
"p64103","p64103","1","1","2003",""
"p10332","p64191","1","0.999","2003",""
"p195580","p64297","1","1","1992",""
"p47007","p64340","1","1","2015",""
"p64363","p64363","1","1","1990",""
"p64399","p64399","1","1","2002",""
"p58559","p64422","1","1","2002",""
"p41737","p64888","1","0.5","2010",""
"p31139","p64888","1","0.5","2010",""
"p164031","p65163","1","0.053","2002",""
"p44071","p65427","1","1","1992",""
"p6583","p65569","1","0.558","2011",""
"p148291","p65760","1","0.333","2008",""
"p53909","p65795","1","0.1","2011",""
"p112542","p65810","1","1","1989",""
"p91986","p65818","1","1","2011",""
"p66015","p66015","1","1","1999",""
"p143242","p66027","1","0.8","1998",""
"p101678","p66293","1","0.987","2006",""
"p131183","p66463","1","0.9","1993",""
"p101854","p66480","1","0.52","2010",""
"p101545","p66503","1","0.08","2014",""
"p143022","p66590","1","1","1980",""
"p229103","p66656","1","0.018","2013",""
"p194140","p66656","1","0.01","2013",""
"p177891","p66675","1","1","1999",""
"p162190","p67184","1","0.015","2010",""
"p202642","p67260","1","1","1993",""
"p67342","p67342","1","1","1995",""
"p150029","p67477","1","0.5","2012",""
"p146991","p67568","1","1","1985",""
"p14734","p67709","1","1","1982",""
"p55730","p67715","1","0.35","2010",""
"p86881","p67870","1","0.5","2015",""
"p174143","p67934","1","0.9","2011",""
"p74210","p68576","1","0.51","2014",""
"p85295","p68930","1","0.33","2012",""
"p69472","p69472","1","0.22","2002",""
"p167781","p69518","1","1","2000",""
"p45245","p69526","1","0.967","2011",""
"p128245","p69974","1","0.8","1995",""
"p112711","p70138","1","0.5","2014",""
"p19315","p70145","1","0.714","1998",""
"p96272","p70203","1","0.9","2004",""
"p70322","p70322","1","1","1989",""
"p215487","p70491","1","0.915","2004",""
"p187081","p70715","1","0.6","1985",""
"p37591","p70729","1","0.7","2012",""
"p182791","p70804","1","0.615","2010",""
"p53857","p70891","1","0.3","2010",""
"p153123","p71291","1","0.7","2011",""
"p224070","p71333","1","1","2015",""
"p30293","p71338","1","0.35","2011",""
"p194328","p71549","1","1","2014",""
"p206922","p71694","1","0.12","1993",""
"p175951","p71789","1","0.5","2003",""
"p208067","p71817","1","0","2005",""
"p158511","p71827","1","1","2013",""
"p25273","p71842","1","1","2006",""
"p54166","p72103","1","1","2004",""
"p166860","p72123","1","0.143","2014",""
"p38565","p72484","1","0.185","1993",""
"p42825","p72826","1","0.8","1993",""
"p31518","p72897","1","0.85","2007",""
"p101967","p73197","1","0.9","2014",""
"p73326","p73326","1","1","2000",""
"p73490","p73490","1","1","1993",""
"p86881","p74163","1","0.5","2015",""
"p122290","p74304","1","1","2014",""
"p845","p74320","1","0.8","2014",""
"p107109","p74431","1","1","2012",""
"p221887","p74491","1","1","2013",""
"p103247","p74883","1","0.86","2008",""
"p128666","p74947","1","0.07","2003",""
"p36405","p75047","1","0.019","1997",""
"p159919","p75047","1","0.045","1997",""
"p151170","p75115","1","0.27","2014",""
"p215119","p75130","1","0.66","2010",""
"p85295","p75238","1","0.51","2006",""
"p80916","p75407","1","0.894","2001",""
"p103795","p75424","1","0.2","1998",""
"p57173","p75760","1","1","2012",""
"p181725","p75827","1","0.333","2015",""
"p76342","p76342","1","1","1993",""
"p70970","p76410","1","0.5","2009",""
"p53857","p76670","1","0.5","2013",""
"p57926","p76795","1","0.99","2013",""
"p77872","p76956","1","0.014","2010",""
