EID,TARGET,ENDDATE
"p100610",1,"201606"
"p100616",0,""
"p100617",0,""
"p100618",1,"201605"
"p100619",0,""
"p10062",0,""
"p100620",1,"201704"
"p100621",0,""
"p100623",0,""
"p100628",0,""
"p100629",1,"201607"
"p10063",0,""
"p100631",0,""
"p100633",0,""
"p100634",0,""
"p100638",0,""
"p10064",0,""
"p100642",0,""
"p100645",0,""
"p100646",0,""
"p10065",0,""
"p100652",0,""
"p100656",0,""
"p100660",0,""
"p100662",0,""
"p100665",0,""
"p100667",1,"201607"
"p100672",0,""
"p100673",0,""
"p100674",1,"201706"
"p100675",0,""
"p100677",1,"201705"
"p100679",0,""
"p10068",0,""
"p100680",0,""
"p100689",0,""
"p100690",0,""
"p100693",0,""
"p100695",1,"201609"
"p100696",0,""
"p100697",0,""
"p100698",0,""
"p100699",0,""
"p1007",0,""
"p100701",0,""
"p100703",1,"201607"
"p100706",0,""
"p100707",0,""
"p10071",0,""
"p100711",0,""
"p100714",0,""
"p100715",0,""
"p10072",0,""
"p100722",0,""
"p100724",0,""
"p100726",0,""
"p100727",0,""
"p100729",0,""
"p100732",0,""
"p100734",0,""
"p100735",0,""
"p100736",0,""
"p100737",0,""
"p100739",0,""
"p10074",0,""
"p100744",0,""
"p100745",1,"201607"
"p100747",1,"201602"
"p100748",0,""
"p100750",0,""
"p100753",0,""
"p100754",0,""
"p100755",0,""
"p100756",0,""
"p100759",0,""
"p100761",0,""
"p100762",0,""
"p100764",0,""
"p100766",0,""
"p100768",0,""
"p100770",1,"201606"
"p100771",0,""
"p100774",0,""
"p100777",0,""
"p100779",0,""
"p100780",0,""
"p100785",0,""
"p100786",0,""
"p100789",0,""
"p10079",0,""
"p100793",0,""
"p100796",0,""
"p100799",0,""
"p1008",0,""
"p100801",0,""
"p100802",0,""
"p100803",0,""
"p100804",0,""
"p100806",0,""
"p10081",0,""
"p100810",1,"201606"
"p100811",0,""
"p100812",0,""
"p100814",0,""
"p100815",0,""
"p100817",0,""
"p100818",0,""
"p100819",0,""
"p10082",0,""
"p100821",0,""
"p100822",0,""
"p100823",0,""
"p100824",0,""
"p100825",0,""
"p100827",0,""
"p100828",0,""
"p100829",0,""
"p100831",0,""
"p100833",0,""
"p100835",1,"201612"
"p100839",0,""
"p10084",0,""
"p100840",0,""
"p100843",0,""
"p100844",0,""
"p100845",0,""
"p100846",0,""
"p100851",0,""
"p100852",0,""
"p100853",0,""
"p100855",0,""
"p100858",0,""
"p100864",0,""
"p100867",0,""
"p100869",0,""
"p10087",0,""
"p100871",1,"201612"
"p100873",0,""
"p100874",1,"201707"
"p100875",0,""
"p100876",0,""
"p100881",0,""
"p100882",0,""
"p100885",0,""
"p100887",0,""
"p100888",0,""
"p100889",0,""
"p10089",1,"201707"
"p100891",0,""
"p100892",0,""
"p100894",0,""
"p100895",0,""
"p100896",0,""
"p100897",0,""
"p100898",0,""
"p100901",0,""
"p100903",0,""
"p100909",0,""
"p10091",0,""
"p100912",0,""
"p100913",0,""
"p100914",0,""
"p100916",0,""
"p100917",0,""
"p100919",0,""
"p100920",0,""
"p100926",0,""
"p100927",0,""
"p100929",0,""
"p100931",0,""
"p100932",0,""
"p100934",0,""
"p100936",0,""
"p100938",0,""
"p100940",0,""
"p100942",0,""
"p100943",0,""
"p100947",1,"201607"
"p100950",1,"201708"
"p100951",0,""
"p100952",0,""
"p100954",0,""
"p100957",0,""
"p100961",0,""
"p100967",1,"201511"
"p100968",0,""
"p100969",1,"201510"
"p100971",0,""
"p100972",0,""
"p100973",0,""
"p100975",1,"201708"
"p100977",0,""
"p100979",1,"201708"
"p100980",0,""
"p100983",0,""
"p100985",0,""
"p100986",0,""
"p100987",0,""
"p100988",0,""
"p10099",0,""
"p100991",0,""
"p100994",0,""
"p100997",0,""
"p100999",0,""
"p101000",0,""
"p101003",0,""
"p101004",0,""
"p101006",0,""
"p101007",0,""
"p101009",1,"201703"
"p101010",0,""
"p101012",0,""
"p101016",0,""
"p101017",0,""
"p101025",0,""
"p101027",0,""
"p101028",0,""
"p101029",0,""
"p10103",0,""
"p101030",0,""
"p101031",0,""
"p101032",1,"201607"
"p101034",0,""
"p101037",0,""
"p101038",0,""
"p101039",0,""
"p101041",0,""
"p101042",1,"201708"
"p101044",0,""
"p101046",0,""
"p101047",1,"201706"
"p101048",0,""
"p10105",0,""
"p101050",0,""
"p101053",0,""
"p101054",0,""
"p101055",0,""
"p101057",0,""
"p10106",0,""
"p101063",1,"201609"
"p101064",0,""
"p101066",0,""
"p101067",0,""
"p10107",0,""
"p101070",0,""
"p101076",0,""
"p101077",0,""
"p101083",0,""
"p101085",0,""
"p101089",0,""
"p101090",0,""
"p101092",1,"201606"
"p101093",0,""
"p101095",0,""
"p101097",0,""
"p1011",0,""
"p10110",1,"201612"
"p101101",0,""
"p101102",0,""
"p101103",1,"201604"
"p101105",1,"201706"
"p101107",1,"201701"
"p101109",0,""
"p101118",0,""
"p101119",0,""
"p101121",1,"201607"
"p101127",0,""
"p101129",0,""
"p101131",0,""
"p101132",0,""
"p101134",0,""
"p101135",0,""
"p101136",0,""
"p101137",1,"201606"
"p101139",0,""
"p10114",0,""
"p101140",1,"201707"
"p101141",0,""
"p101147",0,""
"p101149",0,""
"p101152",0,""
"p101155",0,""
"p101156",0,""
"p101157",0,""
"p101159",0,""
"p10116",0,""
"p101162",0,""
"p101167",0,""
"p101168",0,""
"p101169",0,""
"p10117",0,""
"p101172",0,""
"p101175",0,""
"p101177",0,""
"p101179",0,""
"p101181",0,""
"p101183",0,""
"p101184",0,""
"p101185",1,"201702"
"p101186",0,""
"p101188",1,"201602"
"p101190",0,""
"p101200",0,""
"p101202",0,""
"p101204",0,""
"p101205",1,"201607"
"p101206",0,""
"p101208",0,""
"p101209",0,""
"p10121",0,""
"p101210",0,""
"p101211",0,""
"p101213",0,""
"p101216",0,""
"p101217",0,""
"p101218",0,""
"p101219",1,"201509"
"p101220",0,""
"p101223",0,""
"p101227",0,""
"p101228",0,""
"p101230",0,""
"p101231",0,""
"p101232",0,""
"p101233",0,""
"p101239",0,""
"p10124",0,""
"p101241",0,""
"p101242",0,""
"p101244",0,""
"p101245",0,""
"p101246",0,""
"p101248",0,""
"p101249",1,"201707"
"p101251",1,"201703"
"p101253",0,""
"p101254",0,""
"p101258",0,""
"p10126",0,""
"p101262",0,""
"p101266",0,""
"p101267",0,""
"p101270",0,""
"p101272",0,""
"p101273",0,""
"p101274",0,""
"p101275",0,""
"p101276",1,"201706"
"p101278",0,""
"p10128",0,""
"p101281",0,""
"p101283",0,""
"p101284",1,"201607"
"p101289",0,""
"p101296",0,""
"p101298",0,""
"p1013",0,""
"p101300",0,""
"p101301",0,""
"p101304",0,""
"p101306",0,""
"p101307",0,""
"p10131",0,""
"p101310",0,""
"p101313",1,"201601"
"p101314",0,""
"p101316",0,""
"p101317",1,"201610"
"p101319",0,""
"p10132",0,""
"p101320",0,""
"p101321",0,""
"p101322",1,"201706"
"p101325",0,""
"p101326",0,""
"p101329",0,""
"p10133",0,""
"p101330",0,""
"p101331",0,""
"p101334",0,""
"p101335",0,""
"p101338",0,""
"p101340",1,"201607"
"p101342",1,"201701"
"p101343",0,""
"p101344",0,""
"p101345",0,""
"p101346",0,""
"p101349",0,""
"p101351",0,""
"p101353",0,""
"p101358",0,""
"p101359",1,"201604"
"p10136",0,""
"p101360",1,"201609"
"p101361",0,""
"p101365",0,""
"p101366",0,""
"p101367",0,""
"p101368",0,""
"p101373",1,"201601"
"p101375",0,""
"p101376",0,""
"p101379",0,""
"p10138",0,""
"p101380",1,"201512"
"p101383",0,""
"p101388",0,""
"p10139",0,""
"p101393",1,"201701"
"p101396",0,""
"p101397",1,"201705"
"p101399",0,""
"p1014",0,""
"p101400",0,""
"p101402",0,""
"p101404",1,"201608"
"p101405",0,""
"p101406",0,""
"p101407",0,""
"p101408",0,""
"p101411",0,""
"p101412",1,"201604"
"p101414",0,""
"p101415",0,""
"p10142",0,""
"p101420",0,""
"p101421",0,""
"p101422",0,""
"p101425",0,""
"p101426",0,""
"p101427",0,""
"p101429",0,""
"p101433",0,""
"p101434",0,""
"p101435",0,""
"p101438",0,""
"p101439",0,""
"p101441",0,""
"p101445",0,""
"p101446",1,"201610"
"p101447",0,""
"p101449",0,""
"p101450",0,""
"p101455",1,"201604"
"p101458",0,""
"p101459",0,""
"p10146",1,"201604"
"p101460",0,""
"p101461",0,""
"p101465",0,""
"p101467",0,""
"p10147",0,""
"p101472",0,""
"p101473",0,""
"p101475",0,""
"p101477",0,""
"p101480",0,""
"p101481",0,""
"p101483",0,""
"p101484",0,""
"p101485",0,""
"p101486",1,"201703"
"p101489",0,""
"p10149",0,""
"p101490",1,"201512"
"p101493",0,""
"p101494",0,""
"p101495",0,""
"p101497",0,""
"p101498",0,""
"p1015",0,""
"p101500",1,"201607"
"p101501",0,""
"p101505",0,""
"p101506",0,""
"p101509",0,""
"p10151",0,""
"p101510",0,""
"p101522",0,""
"p101523",0,""
"p101529",0,""
"p10153",0,""
"p101530",0,""
"p101533",1,"201612"
"p101535",0,""
"p101536",0,""
"p10154",0,""
"p101540",1,"201510"
"p101545",0,""
"p101546",0,""
"p101547",0,""
"p101548",0,""
"p101549",0,""
"p101552",0,""
"p101553",0,""
"p101557",0,""
"p101558",0,""
"p101559",0,""
"p10156",1,"201512"
"p101560",0,""
"p101561",0,""
"p101562",0,""
"p101563",0,""
"p101564",0,""
"p101565",0,""
"p101566",0,""
"p101569",1,"201512"
"p101570",0,""
"p101571",0,""
"p101574",0,""
"p101576",0,""
"p101577",0,""
"p101578",0,""
"p101581",0,""
"p101586",0,""
"p101591",0,""
"p101592",0,""
"p101593",0,""
"p101598",0,""
"p1016",1,"201707"
"p10160",0,""
"p101605",0,""
"p101607",0,""
"p101608",0,""
"p101609",0,""
"p101611",0,""
"p101613",0,""
"p101616",0,""
"p101619",0,""
"p101620",0,""
"p101623",0,""
"p101624",0,""
"p101625",0,""
"p101627",0,""
"p101630",0,""
"p101631",0,""
"p101634",0,""
"p101635",0,""
"p101636",0,""
"p101637",1,"201702"
"p101638",0,""
"p101639",0,""
"p10164",0,""
"p101640",0,""
"p101643",0,""
"p101648",0,""
"p101649",0,""
"p10165",0,""
"p101652",1,"201707"
"p101654",0,""
"p101655",0,""
"p101657",0,""
"p101659",0,""
"p101660",0,""
"p101662",0,""
"p101663",0,""
"p101664",0,""
"p101666",0,""
"p101669",0,""
"p101670",0,""
"p101676",0,""
"p101677",0,""
"p101678",0,""
"p101680",1,"201512"
"p101681",0,""
"p101682",0,""
"p101687",0,""
"p101688",0,""
"p101690",1,"201707"
"p101696",0,""
"p101697",0,""
"p1017",0,""
"p10170",0,""
"p101704",0,""
"p101705",0,""
"p101706",0,""
"p10171",0,""
"p101711",0,""
"p101712",0,""
"p101713",0,""
"p101715",1,"201601"
"p101717",0,""
"p101719",0,""
"p10172",1,"201608"
"p101720",1,"201607"
"p101721",0,""
"p101724",0,""
"p101726",0,""
"p10173",1,"201608"
"p101730",0,""
"p101731",0,""
"p101732",0,""
"p101733",0,""
"p101734",0,""
"p101738",0,""
"p101744",0,""
"p101745",0,""
"p101747",0,""
"p101750",0,""
"p101751",0,""
"p101752",0,""
"p101755",0,""
"p101756",1,"201706"
"p101757",1,"201610"
"p101759",0,""
"p101761",0,""
"p101763",1,"201609"
"p101764",1,"201602"
"p101765",0,""
"p101766",0,""
"p101767",0,""
"p101768",0,""
"p101769",0,""
"p101770",0,""
"p101773",1,"201707"
"p101774",0,""
"p101776",0,""
"p101782",0,""
"p101789",0,""
"p101791",1,"201607"
"p101792",0,""
"p101799",0,""
"p10180",1,"201606"
"p101800",0,""
"p101801",0,""
"p101803",0,""
"p101807",0,""
"p101808",0,""
"p101812",0,""
"p101815",1,"201708"
"p101816",1,"201606"
"p101817",1,"201607"
"p10182",1,"201707"
"p101822",1,"201603"
"p101824",0,""
"p101828",1,"201509"
"p101829",0,""
"p101833",0,""
"p101834",0,""
"p101836",1,"201607"
"p101837",0,""
"p101841",1,"201703"
"p101842",0,""
"p101846",0,""
"p101847",0,""
"p101849",1,"201607"
"p10185",0,""
"p101850",0,""
"p101851",0,""
"p101854",0,""
"p101857",0,""
"p101861",0,""
"p101862",0,""
"p101864",0,""
"p101865",0,""
"p101866",0,""
"p101869",0,""
"p10187",0,""
"p101870",1,"201512"
"p101873",0,""
"p101874",0,""
"p101875",0,""
"p101876",0,""
"p101877",0,""
"p101878",0,""
"p101881",1,"201603"
"p101885",0,""
"p101892",0,""
"p101899",0,""
"p10190",0,""
"p101900",0,""
"p101901",0,""
"p101902",1,"201608"
"p101903",0,""
"p101906",0,""
"p101908",0,""
"p101909",0,""
"p10191",0,""
"p101910",0,""
"p101912",0,""
"p101913",1,"201608"
"p101914",0,""
"p101920",0,""
"p101921",0,""
"p101922",0,""
"p101925",0,""
"p101927",1,"201703"
"p101929",1,"201708"
"p101930",0,""
"p101931",0,""
"p101933",1,"201607"
"p101937",0,""
"p101939",0,""
"p101940",1,"201601"
"p101942",0,""
"p101943",0,""
"p101944",0,""
"p101947",0,""
"p10195",0,""
"p101950",0,""
"p101951",0,""
"p101952",0,""
"p101953",0,""
"p101954",0,""
"p101956",0,""
"p101958",0,""
"p10196",0,""
"p101961",0,""
"p101964",0,""
"p101965",0,""
"p101966",0,""
"p101968",0,""
"p10197",0,""
"p101971",0,""
"p101973",0,""
"p101974",0,""
"p101975",0,""
"p101978",0,""
"p10198",0,""
"p101981",0,""
"p101989",0,""
"p10199",0,""
"p101990",0,""
"p101994",0,""
"p101995",0,""
"p101997",0,""
"p102",0,""
"p102000",0,""
"p102002",0,""
"p102005",0,""
"p102007",1,"201612"
"p102010",0,""
"p102011",0,""
"p102013",0,""
"p102016",0,""
"p102019",0,""
"p102020",0,""
"p102025",0,""
"p102029",0,""
"p102030",0,""
"p102031",0,""
"p102036",0,""
"p102040",0,""
"p102050",0,""
"p102051",0,""
"p102052",0,""
"p102053",0,""
"p102056",0,""
"p102058",0,""
"p102061",0,""
"p102062",0,""
"p102063",0,""
"p102065",0,""
"p102068",0,""
"p10207",0,""
"p102071",1,"201605"
"p102073",1,"201703"
"p102075",0,""
"p102079",1,"201708"
"p102081",0,""
"p102085",0,""
"p102086",0,""
"p102088",0,""
"p102089",1,"201706"
"p102092",0,""
"p102093",0,""
"p102094",0,""
"p102095",0,""
"p102096",1,"201607"
"p102098",0,""
"p102099",0,""
"p10210",0,""
"p102105",1,"201606"
"p102106",0,""
"p102107",0,""
"p102113",0,""
"p102117",0,""
"p102118",0,""
"p102119",1,"201607"
"p102121",0,""
"p102122",0,""
"p102126",1,"201607"
"p102129",0,""
"p10213",0,""
"p102131",1,"201706"
"p102137",0,""
"p102140",0,""
"p102141",0,""
"p102146",0,""
"p102151",0,""
"p102154",0,""
"p102155",0,""
"p102157",0,""
"p102159",0,""
"p102161",0,""
"p102162",0,""
"p102165",0,""
"p102169",0,""
"p10217",0,""
"p102172",0,""
"p102174",1,"201611"
"p102175",0,""
"p102179",1,"201607"
"p10218",0,""
"p102180",0,""
"p102181",0,""
"p102182",0,""
"p102187",0,""
"p10219",0,""
"p102191",0,""
"p102195",0,""
"p102196",0,""
"p10220",0,""
"p102200",0,""
"p102205",0,""
"p102207",0,""
"p102208",0,""
"p10221",0,""
"p102212",1,"201707"
"p102214",0,""
"p102217",0,""
"p102218",0,""
"p10222",0,""
"p102227",0,""
"p102229",0,""
"p10223",0,""
"p102233",1,"201601"
"p102236",0,""
"p10224",1,"201608"
"p102243",0,""
"p102245",0,""
"p102247",0,""
"p10225",0,""
"p102250",0,""
"p102251",0,""
"p102252",0,""
"p102253",0,""
"p102254",0,""
"p102258",0,""
"p102260",1,"201606"
"p102263",0,""
"p102267",0,""
"p102268",1,"201609"
"p10227",0,""
"p102272",0,""
"p102273",1,"201705"
"p102276",0,""
"p102278",0,""
"p102284",0,""
"p102287",0,""
"p102288",0,""
"p102292",0,""
"p102296",0,""
"p102301",0,""
"p102303",0,""
"p102308",0,""
"p102309",0,""
"p102310",0,""
"p102311",0,""
"p102314",0,""
"p102315",0,""
"p102316",0,""
"p102318",1,"201706"
"p102321",0,""
"p10233",0,""
"p102336",0,""
"p10234",0,""
"p102343",0,""
"p102344",0,""
"p102345",0,""
"p102347",0,""
"p102349",0,""
"p10235",0,""
"p102350",0,""
"p102356",0,""
"p102358",0,""
"p102359",0,""
"p10236",0,""
"p102361",0,""
"p102363",0,""
"p102368",0,""
"p102372",0,""
"p102374",0,""
"p102375",0,""
"p102377",0,""
"p10238",0,""
"p102381",0,""
"p102384",0,""
"p102387",0,""
"p10239",0,""
"p102390",0,""
"p102392",0,""
"p102395",0,""
"p102396",0,""
"p102398",1,"201704"
"p1024",0,""
"p102400",1,"201604"
"p102401",1,"201702"
"p102402",0,""
"p102406",0,""
"p102407",0,""
"p102410",0,""
"p102411",0,""
"p102413",0,""
"p102416",0,""
"p102418",0,""
"p102419",0,""
"p10242",0,""
"p102422",0,""
"p102425",0,""
"p102428",1,"201607"
"p102429",0,""
"p10243",1,"201606"
"p102430",1,"201607"
"p102431",0,""
"p102433",1,"201607"
"p102438",0,""
"p10244",0,""
"p102440",0,""
"p102443",1,"201607"
"p102446",0,""
"p102447",0,""
"p102449",0,""
"p10245",0,""
"p102451",1,"201707"
"p102452",1,"201607"
"p102453",0,""
"p102457",1,"201607"
"p102462",0,""
"p102469",0,""
"p102470",0,""
"p102472",0,""
"p102473",0,""
"p102479",1,"201607"
"p102482",0,""
"p102483",0,""
"p102485",0,""
"p10249",0,""
"p102490",0,""
"p102494",0,""
"p102496",0,""
"p1025",0,""
"p102502",0,""
"p102505",0,""
"p102508",0,""
"p102509",0,""
"p102513",0,""
"p102517",1,"201603"
"p102518",0,""
"p102521",0,""
"p102522",0,""
"p102524",0,""
"p102526",0,""
"p102528",0,""
"p10253",1,"201606"
"p102530",1,"201608"
"p102531",1,"201607"
"p102533",0,""
"p102535",0,""
"p102537",1,"201605"
"p102538",0,""
"p102542",0,""
"p102545",0,""
"p102547",0,""
"p102548",1,"201607"
"p102549",0,""
"p102553",0,""
"p102554",0,""
"p102558",0,""
"p102559",0,""
"p10256",0,""
"p102560",1,"201707"
"p102563",0,""
"p102565",0,""
"p102566",0,""
"p102567",0,""
"p102569",0,""
"p10257",0,""
"p102573",0,""
"p102575",0,""
"p10258",0,""
"p102580",0,""
"p102582",0,""
"p102584",0,""
"p102588",0,""
"p102589",1,"201606"
"p102590",0,""
"p102594",0,""
"p102599",0,""
"p1026",1,"201607"
"p102600",0,""
"p102613",0,""
"p102617",0,""
"p102618",0,""
"p102619",0,""
"p102620",0,""
"p102622",0,""
"p102623",0,""
"p102624",0,""
"p102625",0,""
"p102628",0,""
"p102631",0,""
"p102632",1,"201606"
"p102633",0,""
"p102636",0,""
"p102638",1,"201707"
"p102639",0,""
"p102640",0,""
"p102641",0,""
"p102649",0,""
"p102651",0,""
"p102652",0,""
"p102653",0,""
"p102656",0,""
"p102660",0,""
"p102661",0,""
"p102669",0,""
"p10267",0,""
"p102670",0,""
"p102676",0,""
"p102677",1,"201707"
"p10268",0,""
"p102685",0,""
"p102694",0,""
"p102695",1,"201509"
"p102698",0,""
"p1027",0,""
"p102708",0,""
"p102710",0,""
"p102712",0,""
"p102713",0,""
"p102714",0,""
"p102715",0,""
"p102716",0,""
"p102719",0,""
"p102720",0,""
"p102724",0,""
"p102726",0,""
"p102728",0,""
"p102731",1,"201606"
"p102737",0,""
"p102739",1,"201612"
"p102743",0,""
"p102746",0,""
"p102748",0,""
"p102749",0,""
"p102752",0,""
"p102753",1,"201605"
"p102759",0,""
"p102761",0,""
"p102765",1,"201601"
"p102767",0,""
"p102768",0,""
"p102769",1,"201704"
"p102770",0,""
"p102772",0,""
"p102776",0,""
"p102778",0,""
"p102781",0,""
"p102783",0,""
"p102784",0,""
"p102785",0,""
"p102786",0,""
"p102787",0,""
"p102788",0,""
"p102789",0,""
"p10279",0,""
"p102791",0,""
"p102797",0,""
"p102798",0,""
"p1028",1,"201704"
"p102800",0,""
"p102801",0,""
"p102802",1,"201512"
"p102804",0,""
"p102805",0,""
"p102809",1,"201707"
"p102811",0,""
"p102815",0,""
"p102817",1,"201602"
"p102821",0,""
"p102823",0,""
"p102826",0,""
"p102828",0,""
"p102830",0,""
"p102837",0,""
"p102839",0,""
"p102846",0,""
"p102847",0,""
"p102848",0,""
"p102851",0,""
"p102856",0,""
"p102858",0,""
"p102859",0,""
"p10286",0,""
"p102866",0,""
"p102867",1,"201512"
"p102869",0,""
"p102870",0,""
"p102871",0,""
"p102872",0,""
"p102873",0,""
"p102875",0,""
"p102876",0,""
"p10288",0,""
"p102885",0,""
"p102897",0,""
"p102898",0,""
"p10290",0,""
"p102902",0,""
"p102904",0,""
"p102905",0,""
"p102908",0,""
"p10291",0,""
"p102913",0,""
"p102916",0,""
"p102917",1,"201606"
"p102918",0,""
"p102920",0,""
"p102923",0,""
"p102925",0,""
"p102926",0,""
"p102927",0,""
"p102928",0,""
"p102929",0,""
"p10293",0,""
"p102931",0,""
"p102934",0,""
"p102936",0,""
"p102938",0,""
"p102940",0,""
"p102943",1,"201705"
"p102946",0,""
"p102948",0,""
"p102951",0,""
"p102952",0,""
"p102963",0,""
"p102964",0,""
"p102965",0,""
"p102970",0,""
"p102973",0,""
"p102975",0,""
"p102977",0,""
"p102987",0,""
"p102988",0,""
"p102994",0,""
"p102996",0,""
"p103",0,""
"p103000",0,""
"p103004",0,""
"p103005",0,""
"p103008",0,""
"p103009",1,"201608"
"p10301",0,""
"p103011",0,""
"p103012",0,""
"p103014",0,""
"p103015",0,""
"p103016",0,""
"p103017",0,""
"p103023",0,""
"p103024",0,""
"p103027",0,""
"p103030",0,""
"p103031",0,""
"p103035",0,""
