"EID","TYPECODE","LAWDATE","LAWAMOUNT"
"p2214","81273127","2014年05月","8100"
"p2214","98353417","2014年12月","24700"
"p2298","106371742","2015年07月","2885200"
"p2298","105204893","2015年07月","2885200"
"p2298","109544260","2015年07月","2885200"
"p2298","106242284","2015年08月","972900"
"p2298","106242305","2015年08月","2885200"
"p2309","103777226","2015年01月","3500"
"p2362","69045924","2012年09月","3300"
"p2433","60976812","2013年03月","0"
"p2433","43542042","2012年10月","1533600"
"p2437","94629495","2014年12月","1487100"
"p2526","111391750","2015年03月","43100"
"p2526","99662945","2015年03月","43100"
"p2526","100556183","2015年04月","32200"
"p2526","101896502","2015年03月","43100"
"p2625","96178994","2015年01月","4043800"
"p2980","104588947","2015年06月","55000"
"p3001","105850794","2015年05月","181100"
"p3001","106033753","2015年06月","10000"
"p3001","102286295","2015年05月","13800"
"p3001","101582388","2015年05月","181100"
"p3001","93802984","2014年09月","59600"
"p3001","104532015","2015年07月","45300"
"p3001","101023818","2015年04月","2800"
"p3001","98818172","2014年12月","100000"
"p3001","98844642","2014年10月","56100"
"p3001","105850534","2015年05月","0"
"p3001","105447263","2015年04月","2800"
"p3001","81623890","2014年05月","33900"
"p3001","104532163","2015年07月","14400"
"p3001","113169774","2015年08月","10800"
"p3001","110541641","2015年07月","101700"
"p3001","101899783","2015年05月","60900"
"p3001","101899813","2015年05月","0"
"p3001","104532081","2015年07月","35300"
"p3001","100546980","2015年04月","40200"
"p3001","101899810","2015年05月","0"
"p3001","101582391","2015年05月","6400"
"p3001","99731204","2015年03月","76900"
"p3001","99731360","2015年03月","25100"
"p3001","99731059","2015年02月","9300"
"p3001","98819608","2015年02月","39800"
"p3001","98818592","2015年01月","21400"
"p3001","67120629","2013年10月","6500"
"p3001","72197423","2013年03月","104700"
"p3180","86282112","2013年12月","199500"
"p3395","104527562","2015年07月","9400"
"p3764","85055045","2014年05月","10600"
"p3803","14062208","2015年08月","32300"
"p3803","106733830","2015年08月","32300"
"p4251","14064203","2015年06月","0"
"p4251","114943973","2015年06月","0"
"p4571","44212638","2012年11月","11000"
"p4707","72367595","2013年09月","80000"
"p4737","73347115","2013年05月","739900"
"p5110","103034386","2015年03月","7300"
"p5531","69526229","2013年11月","4150000"
"p5617","73138644","2013年05月","2600"
"p5787","95958998","2014年12月","35000"
"p5787","110457745","2014年12月","35000"
"p5906","75402917","2014年01月","637100"
"p5906","103157077","2015年05月","6921500"
"p6026","108810656","2015年06月","139800"
"p6026","105781204","2015年06月","139800"
"p6078","81710430","2014年05月","75400"
"p6078","76856819","2014年03月","66000"
"p6219","106422024","2015年01月","0"
"p6219","78126253","2014年01月","77600"
"p6219","78125592","2013年12月","293100"
"p6219","92878536","2013年11月","352500"
"p6219","99652052","2015年01月","0"
"p6219","72539677","2013年11月","352500"
"p6219","93573717","2013年12月","293100"
"p6219","72537966","2013年10月","352500"
"p6219","78127250","2014年03月","69500"
"p6219","72538789","2013年05月","382500"
"p6219","93543245","2013年05月","382500"
"p6219","81103334","2014年06月","38300"
"p6227","87624483","2014年01月","347800"
"p6227","78280154","2014年01月","347800"
"p6227","74790288","2013年05月","76900"
"p6364","110138944","2015年08月","38300"
"p6364","110138955","2015年08月","37300"
"p6447","93353297","2014年07月","1"
"p6491","108834761","2015年04月","739700"
"p6491","100552989","2015年04月","739700"
"p6887","72119565","2013年11月","62100"
"p6976","61029192","2013年03月","99000"
"p6976","85003002","2014年07月","28800"
"p7294","72003887","2013年09月","40000"
"p7297","95258582","2013年04月","302900"
"p7471","72031655","2013年10月","209800"
"p7504","72031266","2013年09月","60000"
"p7613","94102158","2014年10月","98600"
"p7620","95004662","2015年01月","25300"
"p7620","99317150","2015年01月","1"
"p7620","95134953","2015年01月","25300"
"p7620","95134231","2015年01月","25300"
"p7620","94673136","2015年01月","25300"
"p7620","95075928","2015年01月","21300"
"p7620","95006650","2015年01月","25300"
"p7703","79997878","2014年05月","2415600"
"p7703","62369257","2013年06月","3189300"
"p7703","79997872","2014年05月","14150300"
"p8088","81259469","2013年12月","2092300"
"p8088","95423255","2013年12月","2092300"
"p8088","67887607","2013年01月","9200"
"p8088","76310294","2013年12月","2092300"
"p8088","103021908","2013年12月","2092300"
"p8088","87677126","2013年01月","9200"
"p8290","100451834","2015年03月","6000"
"p8338","81714629","2014年03月","63200"
"p8338","97831304","2014年11月","2433600"
"p8338","76372032","2014年03月","63200"
"p8338","71816655","2012年12月","545900"
"p8338","110127768","2015年05月","4600000"
"p8338","100995937","2015年05月","4600000"
"p8338","101565863","2015年05月","4600000"
"p8413","89737085","2014年10月","105500"
"p8468","103771337","2015年03月","25"
"p8468","97829913","2014年09月","500"
"p8990","42645449","2012年09月","15400"
"p8990","42645425","2012年09月","5100"
"p8990","42645143","2012年09月","9100"
"p9236","94100735","2013年01月","121100"
"p9623","81295515","2014年05月","21000"
"p9623","105901033","2015年05月","49300"
"p9623","101015106","2015年05月","49300"
"p9792","113182459","2015年03月","140000"
"p9907","14065465","2015年06月","15000000"
"p9907","105973500","2015年06月","0"
"p9907","112775040","2015年06月","15000000"
"p10543","67437693","2013年02月","20000"
"p10543","67443348","2013年08月","33700"
"p10645","87388849","2014年07月","6200"
"p11162","113177743","2015年07月","41365300"
"p11233","119733627","2014年12月","29800"
"p11233","101575246","2015年05月","103300"
"p11420","72330541","2013年10月","503500"
"p11420","98745078","2013年08月","454400"
"p11420","98745099","2013年09月","5087500"
"p11420","98745144","2013年09月","119500"
"p11420","98745126","2013年09月","206000"
"p11420","98745139","2013年09月","51400"
"p11420","98745136","2013年09月","1418200"
"p11420","98745134","2013年09月","8240000"
"p11420","98745123","2013年09月","3420900"
"p11420","98745119","2013年09月","300900"
"p11420","98745083","2013年08月","1212000"
"p11420","98745142","2013年09月","890500"
"p11420","98745089","2013年08月","1441800"
"p11420","98745085","2013年08月","5431200"
"p11420","61869864","2013年05月","200000"
"p11420","72330440","2013年10月","200000"
"p11420","99578869","2014年07月","150000"
"p11420","64396272","2013年08月","500000"
"p11420","72329099","2013年05月","1986000"
"p11420","100487258","2013年05月","200000"
"p11420","73817079","2014年01月","118900"
"p11420","72330452","2013年10月","500000"
"p11508","92473066","2014年09月","101200"
"p11634","89281665","2014年09月","65600"
"p11645","60413482","2012年12月","38700"
"p11753","74970597","2013年03月","130100"
"p11753","74966784","2012年12月","82900"
"p11753","109556072","2015年04月","98800"
"p11753","85348566","2012年12月","82900"
"p11753","100550186","2015年04月","98800"
"p11822","77134318","2013年07月","30800"
"p11822","95443969","2013年07月","30800"
"p11833","105751631","2015年04月","9100"
"p11833","100554045","2015年04月","9100"
"p11833","108834775","2015年04月","9100"
"p11859","77131039","2013年06月","20000"
"p11859","77135354","2013年08月","1"
"p12306","14088392","2013年04月","402200"
"p12306","72348732","2013年08月","353800"
"p12306","72386632","2013年04月","1"
"p12306","72386458","2013年08月","1"
"p12306","94057492","2013年08月","353800"
"p12306","72345902","2013年04月","402200"
"p12306","94007202","2013年04月","402200"
"p12367","101021356","2015年04月","57000"
"p12367","113057696","2015年04月","57000"
"p12439","104529762","2015年07月","126100"
"p12439","100540689","2015年04月","176600"
"p12439","103803817","2015年06月","19500"
"p12439","113273010","2015年06月","102000"
"p12439","105438392","2015年04月","176600"
"p12439","106734786","2015年08月","105900"
"p12439","104529786","2015年07月","12500"
"p12439","106389315","2015年06月","131500"
"p12530","76496741","2013年09月","53800"
"p12530","98454908","2015年01月","1959100"
"p12530","111546787","2015年01月","1959100"
"p12675","61483290","2013年04月","10000"
"p12705","107736034","2015年07月","30200"
"p12705","104531836","2015年07月","30200"
"p12727","72118989","2013年12月","0"
"p12748","87750546","2014年08月","78800"
"p12752","69284881","2013年11月","13300"
"p12752","74234324","2014年01月","53500"
"p12752","69286905","2013年11月","17300"
"p12752","69290567","2013年11月","24400"
"p12752","69285666","2013年11月","27400"
"p12752","77792283","2014年04月","84400"
"p12899","105364734","2015年08月","624700"
"p12899","79664043","2014年04月","20907200"
"p12899","79665247","2014年04月","15707200"
"p12899","79486981","2014年05月","20907200"
"p12899","101023404","2015年05月","22727300"
"p12899","79486990","2014年05月","15707200"
"p12950","94303126","2015年01月","3017200"
"p12950","94300756","2015年01月","3156100"
"p12950","94301523","2015年01月","644900"
"p12957","107057440","2015年03月","9400"
"p13066","13972460","2015年06月","142900"
"p13066","14065527","2015年08月","424100"
"p13066","96490517","2015年01月","17500"
"p13066","95429820","2012年09月","7200"
"p13066","72811546","2012年09月","7200"
"p13066","96490507","2015年01月","4400"
"p13066","103946584","2015年01月","9000"
"p13066","97121468","2015年02月","3400"
"p13066","103946651","2015年01月","4500"
"p13066","96490557","2015年01月","30300"
"p13066","103946635","2015年01月","127300"
"p13066","72015760","2013年03月","204900"
"p13066","96490569","2015年01月","23100"
"p13066","96490532","2015年01月","6500"
"p13066","96490504","2015年01月","4100"
"p13066","96490513","2015年01月","17800"
"p13066","96490586","2015年01月","5500"
"p13066","96490498","2015年01月","16400"
"p13066","103946620","2015年01月","4600"
"p13066","103946644","2015年01月","26900"
"p13066","103946647","2015年01月","5500"
"p13066","96490501","2015年01月","31500"
"p13066","103946614","2015年01月","29300"
"p13066","96490510","2015年01月","18000"
"p13066","96490560","2015年01月","15200"
"p13066","96490566","2015年01月","2500"
"p13066","96490222","2015年01月","13500"
"p13066","103946641","2015年01月","3300"
"p13066","96490535","2015年01月","16400"
"p13066","103946623","2015年01月","13200"
"p13066","103946526","2015年01月","13800"
"p13066","96490563","2015年01月","17100"
"p13066","103946654","2015年01月","2900"
"p13066","96490520","2015年01月","48500"
"p13066","96490219","2015年01月","1500"
"p13066","106037576","2015年06月","142900"
"p13066","106181844","2015年08月","424100"
"p13174","98312646","2014年12月","1300"
"p13174","105211532","2015年07月","144300"
"p13207","110098678","2015年07月","8600"
"p13207","106178324","2015年07月","8600"
"p13207","104930921","2015年07月","7100"
"p13207","104930911","2015年07月","8900"
"p13207","104930899","2015年07月","7300"
"p13207","106178397","2015年07月","8400"
"p13207","106179122","2015年08月","6700"
"p13207","106178376","2015年07月","8500"
"p13207","104930908","2015年07月","8500"
"p13207","105288320","2015年08月","6700"
"p13207","104930902","2015年07月","4400"
"p13207","106178333","2015年07月","7300"
"p13207","106178352","2015年07月","4400"
"p13207","106178343","2015年07月","7300"
"p13207","106178416","2015年07月","7100"
"p13207","106178364","2015年07月","7300"
"p13207","106178424","2015年07月","12000"
"p13207","104930924","2015年07月","7300"
"p13207","110098809","2015年08月","6700"
"p13207","110140878","2015年07月","8400"
"p13207","110140855","2015年07月","8500"
"p13207","110098738","2015年07月","8900"
"p13207","106178387","2015年07月","8900"
"p13207","105361528","2015年08月","6700"
"p13207","104930893","2015年07月","8600"
"p13207","104930905","2015年07月","7300"
"p13207","104930917","2015年07月","8600"
"p13207","104930927","2015年07月","12000"
"p13207","104930914","2015年07月","8400"
"p13207","104930896","2015年07月","7300"
"p13316","103061727","2014年07月","4300"
"p13316","103061720","2014年07月","9000"
"p13316","83385952","2014年07月","9000"
"p13316","83385959","2014年07月","4300"
"p13328","81380052","2013年11月","13500"
"p13328","77838643","2013年11月","13500"
"p13444","72009503","2013年03月","100000"
"p13498","60928817","2013年01月","42700"
"p13498","61070512","2013年03月","1700"
"p13607","105446668","2015年04月","609900"
"p13607","100013895","2015年04月","120300"
"p13607","101023569","2015年04月","609900"
"p13615","87555192","2014年08月","99000"
"p13615","92112881","2014年08月","99000"
"p13905","69048409","2012年11月","4900"
"p13905","69048404","2012年11月","8500"
"p13905","69048428","2012年11月","11800"
"p13905","69048418","2012年11月","13900"
"p13905","69048412","2012年11月","7000"
"p13905","69048684","2012年11月","5300"
"p13905","94650846","2012年11月","4700"
"p13905","88909626","2012年11月","13900"
"p13905","69048673","2012年11月","5300"
"p13905","88909086","2012年11月","4900"
"p13905","88909919","2012年11月","6900"
"p13905","88910732","2012年11月","1500"
"p13905","69048680","2012年11月","4700"
"p13905","69048438","2012年11月","1500"
"p13905","69048424","2012年11月","6900"
"p13905","94650851","2012年11月","5300"
"p13905","94650839","2012年11月","5300"
"p13905","88908839","2012年11月","13600"
"p13905","88910172","2012年11月","11800"
"p13905","88909394","2012年11月","7000"
"p13905","88908487","2012年11月","8500"
"p13905","88910479","2012年11月","5500"
"p13905","69048434","2012年11月","5500"
"p13905","69048353","2012年11月","13600"
"p13988","107702196","2015年06月","10100"
"p13988","106013861","2015年06月","10100"
"p14013","71815913","2013年01月","158000"
"p14013","106378369","2015年03月","19300"
"p14035","87788589","2014年07月","54700"
"p14085","99652764","2015年03月","8500"
"p14100","106177577","2015年07月","45000"
"p14127","97570472","2015年02月","1199500"
"p14127","106988060","2015年02月","1199500"
"p14145","95883899","2014年12月","734000"
"p14147","95053688","2013年04月","17700"
"p14147","70996690","2013年04月","17700"
"p14158","81325631","2013年12月","8600"
"p14284","94271629","2014年01月","50000"
"p14284","73929972","2014年01月","50000"
"p14469","78232582","2014年04月","43300"
"p14474","95252352","2014年10月","16400"
"p14494","65543094","2013年01月","56000"
"p14495","99576389","2015年04月","1610200"
"p14495","99592600","2015年04月","7219800"
"p14495","98948705","2014年12月","21539400"
"p14495","108374172","2015年04月","1364900"
"p14495","101028404","2015年04月","1364900"
"p14495","94101717","2014年12月","3164900"
"p14495","91657269","2014年12月","3030800"
"p14495","105459735","2015年04月","1364900"
"p14495","76915359","2014年01月","129300"
"p14495","104568129","2014年12月","3164900"
"p14495","81292711","2014年05月","3807000"
"p14681","96609696","2015年02月","49505000"
"p14681","96611597","2015年02月","22505000"
"p14681","96610616","2015年02月","17070000"
"p14681","100540022","2015年04月","30383700"
"p14681","105437680","2015年04月","30383700"
"p15123","67439397","2013年04月","41200"
"p15145","84100139","2014年07月","121500"
"p15268","75079064","2013年05月","2535400"
"p15599","86551446","2014年04月","15400"
"p15601","106027997","2015年06月","13000"
"p15601","104527358","2015年07月","31200"
"p15601","106384132","2015年07月","19800"
"p15601","104527356","2015年07月","39000"
"p15601","106027889","2015年06月","13000"
"p15601","106383747","2015年06月","13000"
"p15601","103799976","2015年06月","12500"
"p15601","103800040","2015年06月","13000"
"p15601","107556044","2015年08月","3908200"
"p15601","106384110","2015年07月","13000"
"p15601","106383749","2015年06月","15600"
"p15601","104526839","2015年07月","19800"
"p15793","73156538","2013年01月","24000"
"p16410","108240163","2015年06月","216300"
"p16410","108240162","2015年06月","385200"
"p16410","106026283","2015年06月","385200"
"p16410","106026289","2015年06月","95400"
"p16410","106486419","2015年08月","408500"
"p16410","105207567","2015年07月","1313500"
"p16410","113223719","2015年06月","216300"
"p16410","106045718","2015年06月","216300"
"p16449","113272126","2014年12月","37700"
"p16490","113139686","2014年12月","54000"
"p16702","13977141","2015年02月","34600"
"p16702","113985139","2015年02月","34600"
"p16874","14047551","2015年03月","1107100"
"p16874","102942212","2015年03月","1107100"
"p16874","75442706","2014年01月","4500"
"p16874","94219708","2013年09月","4477800"
"p16874","67443233","2013年08月","9800"
"p16874","101552779","2015年05月","1206600"
"p16874","69885953","2013年11月","202500"
"p16874","72138761","2013年12月","51300"
"p16893","101678305","2015年03月","3000"
"p16893","106991132","2015年05月","3000"
"p16893","101573554","2015年05月","3000"
"p16909","105900153","2015年04月","202500"
"p16909","105900150","2015年04月","184000"
"p16909","106989950","2015年04月","184000"
"p16909","113216240","2015年02月","79000"
"p16909","101673531","2014年12月","616400"
"p16909","89904457","2014年11月","453400"
"p16909","106989953","2015年04月","202500"
"p16909","101013677","2015年04月","184000"
"p16909","101013679","2015年04月","202500"
"p16959","73401424","2013年11月","13700"
"p16959","75399337","2014年03月","6316300"
"p17447","106035233","2015年06月","48300"
"p17447","112756994","2015年06月","160400"
"p17447","106035169","2015年06月","160400"
"p17447","112757068","2015年06月","48300"
"p17720","13910921","2015年07月","6669800"
"p17720","105215186","2015年07月","6669800"
"p17720","104889737","2015年03月","6669800"
"p17720","113189767","2015年07月","6669800"
"p17853","77659976","2012年11月","1"
"p17853","95147482","2014年12月","0"
"p17853","99649828","2015年03月","0"
"p17855","99525866","2015年02月","571300"
"p17878","78045523","2013年11月","24300"
"p17878","92391183","2013年11月","24300"
"p17982","77949083","2014年01月","1754300"
"p17989","101026503","2015年04月","10800"
"p17989","105751843","2015年04月","10800"
"p18138","78041754","2013年05月","16804900"
"p18138","93793444","2013年05月","16804900"
"p18148","78043951","2013年07月","30500"
"p18431","80517911","2014年04月","90300"
"p18645","104930256","2015年07月","600"
"p18645","110123627","2015年07月","600"
"p18814","60038202","2012年12月","48900"
"p18814","60038293","2012年12月","16300"
"p18990","78197744","2014年04月","51800"
"p19037","104930825","2015年07月","27200"
"p19037","106375984","2015年07月","27200"
"p19071","87662285","2014年08月","6000"
"p19071","98956918","2014年08月","6000"
"p19080","66169113","2013年09月","3300"
"p19080","106484499","2015年08月","31678100"
"p19080","109546419","2015年08月","31678100"
"p19082","76480989","2013年10月","14400"
"p19082","76480986","2013年10月","22600"
"p19394","106163626","2015年06月","20000"
"p19524","71818754","2013年04月","30200"
"p19814","86514115","2014年05月","1900"
"p19814","81260448","2014年05月","1900"
"p19814","81260432","2014年05月","1900"
"p19814","81260436","2014年05月","1900"
"p19814","81260434","2014年05月","1900"
"p19814","81260430","2014年05月","2900"
"p19814","103046892","2014年05月","1900"
"p19814","81260454","2014年05月","1900"
"p19814","86514154","2014年05月","1900"
"p19814","103046904","2014年05月","1900"
"p19814","72000671","2013年07月","2300"
"p19814","103123969","2014年05月","2900"
"p19814","103046935","2014年05月","1900"
"p19814","72000673","2013年07月","2300"
"p19814","103046933","2014年05月","1900"
"p19814","86514170","2014年05月","1900"
"p19814","103046666","2014年05月","1900"
"p19814","103123977","2014年05月","1900"
"p19814","86514135","2014年05月","1900"
"p19814","103046938","2014年05月","1900"
"p19814","86514142","2014年05月","1900"
"p19814","103046894","2014年05月","1900"
"p19814","86514159","2014年05月","1900"
"p19814","103046897","2014年05月","1900"
"p19814","103046669","2014年05月","1900"
"p19814","103046704","2014年05月","1900"
"p19814","103046890","2014年05月","1900"
"p19814","86514156","2014年05月","1900"
"p19814","81260452","2014年05月","1900"
"p19814","86514131","2014年05月","1900"
"p19814","81260450","2014年05月","1900"
"p19814","86514126","2014年05月","1900"
"p19814","86514140","2014年05月","1900"
"p19814","86514129","2014年05月","1900"
"p19890","105115584","2015年03月","60000"
"p19912","110143291","2015年06月","11500"
"p19912","110143297","2015年06月","8900"
"p19912","110143346","2015年06月","10400"
"p19912","110099561","2015年06月","9700"
"p19912","110099559","2015年06月","8700"
"p19912","110153304","2015年06月","9400"
"p19912","110153288","2015年06月","9800"
"p19912","110099547","2015年06月","9800"
"p19912","110143358","2015年06月","9700"
"p19912","110143326","2015年06月","9700"
"p19912","105994185","2015年06月","8700"
"p19912","105994202","2015年06月","9700"
"p19912","109547901","2015年08月","9800"
"p19912","105994160","2015年06月","9700"
"p19912","105994100","2015年06月","8900"
"p19912","105994136","2015年06月","9800"
"p19912","105994221","2015年06月","10400"
"p19912","105994148","2015年06月","9400"
"p19912","105994114","2015年06月","9800"
"p19912","105994399","2015年06月","9700"
"p19912","105631252","2015年08月","9800"
"p19920","99758669","2015年03月","22000"
"p19984","92115163","2014年10月","10000"
"p19984","104802026","2015年07月","24400"
"p19984","104802045","2015年07月","13300"
"p19984","104802034","2015年07月","26500"
"p19984","104500305","2015年07月","26500"
"p19984","104500300","2015年07月","24400"
"p19984","104802058","2015年07月","17900"
"p19984","110154658","2015年07月","3600"
"p19984","104500302","2015年07月","14100"
"p19984","104500309","2015年07月","3600"
"p19984","110154648","2015年07月","14100"
"p19984","104500318","2015年07月","17900"
"p19984","110151520","2015年07月","17900"
"p19984","104802030","2015年07月","14100"
"p19984","104500312","2015年07月","13300"
"p19984","104802037","2015年07月","3600"
"p20028","98366372","2013年12月","3700"
"p20028","92111700","2013年12月","3700"
"p20028","98324274","2014年11月","9000"
"p20028","76561999","2013年12月","3700"
"p20387","77839227","2013年10月","60900"
"p20387","81381655","2013年10月","60900"
"p20520","65536579","2013年09月","9500"
"p20520","65536677","2013年09月","13800"
"p20578","106733193","2015年08月","132300"
"p20592","88371739","2014年10月","343600"
"p20670","61751568","2013年05月","2062700"
"p20883","67124488","2013年10月","3000000"
"p20883","86664795","2013年10月","3000000"
"p20883","92086871","2014年09月","230000"
"p20883","87379881","2014年09月","230000"
"p20922","108229224","2015年08月","3356600"
"p20922","105287332","2015年08月","3356600"
"p21450","93646920","2013年12月","0"
"p21450","93647498","2013年12月","10200"
"p21450","93647422","2013年12月","0"
"p21521","73163345","2013年04月","2300"
"p21593","106994385","2015年07月","83000"
"p21593","105905461","2015年07月","83000"
"p21710","106383499","2015年06月","425500"
"p21710","113223740","2015年06月","425500"
"p21721","67442185","2013年07月","18700"
"p21845","73170212","2013年06月","53200"
"p21845","75079176","2013年05月","99400"
"p22158","92587419","2014年12月","800"
"p22262","100481439","2013年04月","57900"
"p22262","100481441","2013年04月","106200"
"p22262","61439980","2013年04月","57900"
"p22262","61439781","2013年04月","106200"
"p22296","96334058","2015年01月","44900"
"p22304","106029815","2015年06月","5346700"
"p22715","13998113","2013年12月","1100"
"p22715","74992667","2013年12月","1100"
"p22800","76294904","2012年09月","37000"
"p22800","75079972","2013年01月","0"
"p22821","65538114","2013年09月","36100"
"p22821","69351023","2013年10月","188000"
"p22821","69351030","2013年10月","36100"
"p22879","73164064","2013年05月","6500"
"p22879","82308541","2014年03月","1072200"
"p22879","73289140","2013年11月","5500"
"p22879","96764149","2015年01月","29900"
"p23031","103128589","2015年06月","4600"
"p23252","86548706","2014年07月","0"
"p23376","73359081","2013年11月","83700"
"p23405","96769069","2015年01月","14500"
"p23439","93373481","2014年08月","183800"
"p23439","85010496","2014年08月","183800"
"p23451","77506064","2013年02月","11900"
"p23451","108808110","2015年06月","207400"
"p23530","86549278","2014年07月","33400"
"p23530","100197507","2014年12月","33400"
"p23530","77122590","2013年05月","33200"
"p23673","85144250","2014年04月","27200"
"p23676","77891260","2013年12月","100000"
"p23676","85153240","2013年12月","100000"
"p23743","93263681","2013年05月","12200"
"p23743","93262292","2013年05月","43900"
"p23753","72116179","2013年12月","990000"
"p23831","78432465","2014年04月","493200"
"p23831","105311884","2014年04月","493200"
"p23833","105567763","2015年01月","34300"
"p23833","99321916","2015年01月","34300"
"p23956","74797784","2013年10月","27000"
"p23956","74797781","2013年10月","31700"
"p23956","93373896","2014年10月","57900"
"p24171","105032103","2015年07月","101700"
"p24171","106599871","2015年07月","38000"
"p24210","98946602","2014年09月","31200"
"p24346","77828621","2014年04月","18000"
"p24346","102337020","2015年03月","472000"
"p24346","67268955","2013年10月","36000"
"p24346","86642765","2014年09月","375400"
"p24346","68183705","2013年11月","36000"
"p24659","110484869","2015年08月","26600"
"p24659","85262545","2014年07月","18000"
"p24659","106246990","2015年08月","26600"
"p24659","92875561","2014年07月","18000"
"p24659","92877958","2014年07月","21200"
"p24659","92875557","2014年07月","18000"
"p24659","85262542","2014年07月","18000"
"p24659","85264352","2014年07月","21200"
"p24686","94522766","2013年10月","0"
"p24686","72135001","2013年10月","0"
"p24686","113066611","2013年10月","0"
"p24690","109548634","2015年03月","60100"
"p24690","107755271","2015年04月","270000"
"p24690","98458897","2015年03月","60100"
"p24690","100551261","2015年04月","270000"
"p24982","85038129","2014年05月","44000"
"p25080","101820937","2015年05月","3200"
"p25389","107893386","2015年07月","5161600"
"p25578","15480575","2015年03月","100900"
"p25578","15480705","2015年03月","2186800"
"p25578","99438976","2015年03月","100900"
"p25578","101569292","2015年05月","1813200"
"p25578","99436514","2015年03月","2186800"
"p25656","103352542","2015年06月","33994800"
"p25714","93917082","2014年12月","78400"
"p25759","79998178","2014年05月","0"
"p25759","60837280","2012年12月","1000000"
"p25759","60866564","2013年01月","30800"
"p25861","72037051","2013年01月","1881000"
"p25861","76368285","2013年03月","1881000"
"p26038","83871212","2014年07月","100000"
"p26038","83866807","2014年07月","160000"
"p26038","83866794","2014年07月","40000"
"p26064","81228956","2013年12月","3000"
"p26064","77754046","2013年12月","3000"
"p26064","94644625","2013年12月","3000"
"p26064","94630851","2014年12月","26500"
"p26278","113114081","2015年06月","0"
"p26284","42979920","2012年10月","200000"
"p26600","113232217","2014年11月","18800"
"p27308","72143317","2013年05月","25000"
"p27308","72143370","2013年05月","20000"
"p27392","113183798","2015年03月","10000"
"p27417","120526732","2015年01月","9361400"
"p27744","101018526","2015年04月","120500"
"p27744","96407178","2014年12月","123400"
"p27776","101675700","2015年01月","19000"
